"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"1","CN/China","2021-05-29","91,112","4,636","86,147","329","0.114","0.107","13.57","16.50","115.33"
"2","CN/China","2021-05-28","102,948","4,846","97,726","376","0.105","0.106","16.43","18.00","133.13"
"3","CN/China","2021-05-27","102,932","4,846","97,707","379","0.106","0.106","15.71","17.93","134.54"
"4","CN/China","2021-05-26","102,925","4,846","97,685","394","0.106","0.106","18.29","18.14","145.19"
"5","CN/China","2021-05-25","102,905","4,846","97,672","387","0.106","0.106","17.29","17.50","142.67"
"6","CN/China","2021-05-24","102,890","4,846","97,656","388","0.106","0.106","17.29","17.64","145.34"
"7","CN/China","2021-05-23","102,873","4,846","97,632","395","0.106","0.106","18.14","17.71","145.66"
"8","CN/China","2021-05-22","102,853","4,846","97,621","386","0.106","0.106","19.43","17.14","142.80"
"9","CN/China","2021-05-21","102,833","4,846","97,600","387","0.106","0.106","19.57","16.93","139.28"
"10","CN/China","2021-05-20","102,822","4,846","97,596","380","0.106","0.106","20.14","16.86","144.99"
"11","CN/China","2021-05-19","102,797","4,846","97,578","373","0.106","0.106","18.00","16.14","135.79"
"12","CN/China","2021-05-18","102,784","4,846","97,560","378","0.106","0.106","17.71","16.00","138.48"
"13","CN/China","2021-05-17","102,769","4,846","97,543","380","0.106","0.106","18.00","15.71","139.40"
"14","CN/China","2021-05-16","102,746","4,846","97,519","381","0.106","0.106","17.29","15.43","131.66"
"15","CN/China","2021-05-15","102,717","4,846","97,491","380","0.106","0.106","14.86","14.29","117.54"
"16","CN/China","2021-05-14","102,696","4,846","97,479","371","0.106","0.106","14.29","14.43","111.33"
"17","CN/China","2021-05-13","102,681","4,846","97,454","381","0.106","0.106","13.57","14.79","112.00"
"18","CN/China","2021-05-12","102,671","4,846","97,435","390","0.106","0.106","14.29","16.07","118.80"
"19","CN/China","2021-05-11","102,660","4,846","97,413","401","0.106","0.106","14.29","17.21","125.20"
"20","CN/China","2021-05-10","102,643","4,846","97,390","407","0.106","0.106","13.43","17.43","125.47"
"21","CN/China","2021-05-09","102,625","4,846","97,377","402","0.106","0.106","13.57","17.21","124.66"
"22","CN/China","2021-05-08","102,613","4,846","97,357","410","0.106","0.107","13.71","17.57","130.14"
"23","CN/China","2021-05-07","102,596","4,846","97,332","418","0.106","0.107","14.57","17.50","130.67"
"24","CN/China","2021-05-06","102,586","4,846","97,312","428","0.106","0.107","16.00","18.07","139.72"
"25","CN/China","2021-05-05","102,571","4,846","97,287","438","0.107","0.107","17.86","19.36","143.28"
"26","CN/China","2021-05-04","102,560","4,846","97,266","448","0.107","0.107","20.14","19.07","152.00"
"27","CN/China","2021-05-03","102,549","4,846","97,249","454","0.107","0.107","21.43","20.36","161.46"
"28","CN/China","2021-05-02","102,530","4,846","97,232","452","0.107","0.107","20.86","20.57","164.40"
"29","CN/China","2021-05-01","102,517","4,846","97,206","465","0.107","0.107","21.43","22.57","174.74"
"30","CN/China","2021-04-30","102,494","4,845","97,175","474","0.107","0.107","20.43","23.36","175.66"
"31","CN/China","2021-04-29","102,474","4,845","97,144","485","0.107","0.107","20.14","24.21","179.40"
"32","CN/China","2021-04-28","102,446","4,845","97,123","478","0.107","0.107","20.86","23.43","174.27"
"33","CN/China","2021-04-27","102,419","4,845","97,097","477","0.107","0.107","18.00","22.57","170.00"
"34","CN/China","2021-04-26","102,399","4,845","97,070","484","0.107","0.107","19.29","22.93","172.87"
"35","CN/China","2021-04-25","102,384","4,845","97,055","484","0.107","0.108","20.29","23.43","181.66"
"36","CN/China","2021-04-24","102,367","4,845","97,033","489","0.107","0.108","23.71","24.29","188.34"
"37","CN/China","2021-04-23","102,351","4,845","97,008","498","0.108","0.108","26.29","24.21","196.80"
"38","CN/China","2021-04-22","102,333","4,845","96,989","499","0.108","0.108","28.29","24.93","204.13"
"39","CN/China","2021-04-21","102,300","4,845","96,958","497","0.108","0.108","26.00","24.79","196.47"
"40","CN/China","2021-04-20","102,293","4,845","96,935","513","0.108","0.108","27.14","26.64","215.60"
"41","CN/China","2021-04-19","102,264","4,845","96,895","524","0.108","0.108","26.57","25.93","213.47"
"42","CN/China","2021-04-18","102,242","4,845","96,877","520","0.108","0.108","26.57","27.21","219.53"
"43","CN/China","2021-04-17","102,201","4,845","96,855","501","0.108","0.107","24.86","27.14","205.34"
"44","CN/China","2021-04-16","102,167","4,845","96,839","483","0.108","0.107","22.14","26.29","198.86"
"45","CN/China","2021-04-15","102,135","4,845","96,827","463","0.107","0.107","21.57","27.21","193.74"
"46","CN/China","2021-04-14","102,118","4,845","96,809","464","0.107","0.107","23.57","27.57","203.94"
"47","CN/China","2021-04-13","102,103","4,844","96,788","471","0.107","0.107","26.14","28.07","216.32"
"48","CN/China","2021-04-12","102,078","4,843","96,768","467","0.107","0.107","25.29","27.57","218.14"
"49","CN/China","2021-04-11","102,056","4,843","96,749","464","0.107","0.107","27.86","27.14","222.34"
"50","CN/China","2021-04-10","102,027","4,843","96,729","455","0.107","0.107","29.43","26.00","218.72"
"51","CN/China","2021-04-09","102,012","4,843","96,715","454","0.107","0.107","30.43","26.14","229.67"
"52","CN/China","2021-04-08","101,984","4,841","96,693","450","0.107","0.107","32.86","25.79","227.07"
"53","CN/China","2021-04-07","101,953","4,841","96,675","437","0.107","0.107","31.57","25.00","220.79"
"54","CN/China","2021-04-06","101,920","4,841","96,660","419","0.107","0.107","30.00","24.14","211.81"
"55","CN/China","2021-04-05","101,901","4,841","96,642","418","0.107","0.107","29.86","24.36","217.33"
"56","CN/China","2021-04-04","101,861","4,841","96,619","401","0.107","0.107","26.43","23.43","200.19"
"57","CN/China","2021-04-03","101,821","4,841","96,605","375","0.107","0.107","22.57","21.64","181.74"
"58","CN/China","2021-04-02","101,799","4,841","96,583","375","0.107","0.107","21.86","21.50","180.93"
"59","CN/China","2021-04-01","101,754","4,841","96,558","355","0.106","0.107","18.71","19.50","155.53"
"60","CN/China","2021-03-31","101,732","4,841","96,537","354","0.106","0.107","18.43","19.43","152.80"
"61","CN/China","2021-03-30","101,710","4,841","96,518","351","0.106","0.107","18.29","19.07","150.07"
"62","CN/China","2021-03-29","101,692","4,841","96,504","347","0.106","0.107","18.86","19.36","153.00"
"63","CN/China","2021-03-28","101,676","4,841","96,478","357","0.107","0.107","20.43","21.29","158.79"
"64","CN/China","2021-03-27","101,663","4,841","96,452","370","0.107","0.107","20.71","22.43","170.54"
"65","CN/China","2021-03-26","101,646","4,841","96,433","372","0.107","0.107","21.14","25.29","181.61"
"66","CN/China","2021-03-25","101,623","4,840","96,390","393","0.107","0.108","20.29","28.43","187.19"
"67","CN/China","2021-03-24","101,603","4,840","96,346","417","0.107","0.108","20.43","29.21","195.74"
"68","CN/China","2021-03-23","101,582","4,840","96,314","428","0.107","0.108","19.86","29.07","203.60"
"69","CN/China","2021-03-22","101,560","4,839","96,269","452","0.108","0.108","19.86","29.36","210.12"
"70","CN/China","2021-03-21","101,533","4,839","96,231","463","0.108","0.108","22.14","28.64","212.21"
"71","CN/China","2021-03-20","101,518","4,839","96,208","471","0.108","0.108","24.14","30.07","226.67"
"72","CN/China","2021-03-19","101,498","4,839","96,173","486","0.108","0.108","29.43","30.14","236.19"
"73","CN/China","2021-03-18","101,481","4,839","96,154","488","0.108","0.108","36.57","30.43","248.81"
"74","CN/China","2021-03-17","101,460","4,839","96,123","498","0.108","0.108","38.00","30.21","257.60"
"75","CN/China","2021-03-16","101,443","4,839","96,087","517","0.109","0.108","38.29","30.71","270.79"
"76","CN/China","2021-03-15","101,421","4,839","96,060","522","0.109","0.108","38.86","30.79","279.21"
"77","CN/China","2021-03-14","101,378","4,839","96,040","499","0.108","0.108","35.14","29.50","266.46"
"78","CN/China","2021-03-13","101,349","4,839","96,011","499","0.109","0.108","36.00","30.36","268.40"
"79","CN/China","2021-03-12","101,292","4,839","95,972","481","0.108","0.108","30.86","29.07","240.81"
"80","CN/China","2021-03-11","101,225","4,839","95,951","435","0.108","0.108","24.29","26.71","199.99"
"81","CN/China","2021-03-10","101,194","4,839","95,923","432","0.108","0.108","22.43","25.86","194.73"
"82","CN/China","2021-03-09","101,175","4,838","95,903","434","0.108","0.108","23.14","26.21","201.81"
"83","CN/China","2021-03-08","101,149","4,838","95,869","442","0.108","0.108","22.71","26.07","201.86"
"84","CN/China","2021-03-07","101,132","4,838","95,851","443","0.108","0.108","23.86","26.71","211.87"
"85","CN/China","2021-03-06","101,097","4,838","95,835","424","0.108","0.108","24.71","26.43","203.01"
"86","CN/China","2021-03-05","101,076","4,837","95,804","435","0.108","0.108","27.29","26.50","208.12"
"87","CN/China","2021-03-04","101,055","4,837","95,778","440","0.108","0.109","29.14","26.50","213.07"
"88","CN/China","2021-03-03","101,037","4,836","95,755","446","0.108","0.109","29.29","26.50","221.61"
"89","CN/China","2021-03-02","101,013","4,836","95,721","456","0.108","0.109","29.29","26.71","223.52"
"90","CN/China","2021-03-01","100,990","4,836","95,681","473","0.109","0.109","29.43","26.14","226.61"
"91","CN/China","2021-02-28","100,965","4,835","95,649","481","0.109","0.109","29.57","26.14","227.40"
"92","CN/China","2021-02-27","100,924","4,834","95,605","485","0.109","0.110","28.14","24.71","210.73"
"93","CN/China","2021-02-26","100,885","4,834","95,561","490","0.109","0.110","25.71","23.29","195.60"
"94","CN/China","2021-02-25","100,851","4,834","95,518","499","0.109","0.111","23.86","23.14","185.40"
"95","CN/China","2021-02-24","100,832","4,834","95,462","536","0.109","0.111","23.71","24.14","190.20"
"96","CN/China","2021-02-23","100,808","4,833","95,332","643","0.111","0.112","24.14","23.79","191.07"
"97","CN/China","2021-02-22","100,784","4,833","95,293","658","0.111","0.112","22.86","24.93","193.40"
"98","CN/China","2021-02-21","100,758","4,833","95,241","684","0.111","0.113","22.71","26.36","194.73"
"99","CN/China","2021-02-20","100,727","4,833","95,181","713","0.112","0.114","21.29","27.07","191.00"
"100","CN/China","2021-02-19","100,705","4,833","95,110","762","0.112","0.114","20.86","27.64","198.13"
"101","CN/China","2021-02-18","100,684","4,833","95,034","817","0.113","0.115","22.43","29.71","207.67"
"102","CN/China","2021-02-17","100,666","4,833","94,960","873","0.114","0.116","24.57","31.43","222.27"
"103","CN/China","2021-02-16","100,639","4,831","94,875","933","0.114","0.117","23.43","33.00","229.39"
"104","CN/China","2021-02-15","100,624","4,829","94,796","999","0.115","0.118","27.00","35.50","251.81"
"105","CN/China","2021-02-14","100,599","4,829","94,728","1,042","0.116","0.119","30.00","38.29","268.86"
"106","CN/China","2021-02-13","100,578","4,829","94,641","1,108","0.116","0.120","32.86","43.57","296.53"
"107","CN/China","2021-02-12","100,559","4,828","94,536","1,195","0.117","0.121","34.43","50.79","331.74"
"108","CN/China","2021-02-11","100,527","4,827","94,413","1,287","0.118","0.122","37.00","55.79","357.87"
"109","CN/China","2021-02-10","100,494","4,825","94,288","1,381","0.120","0.123","38.29","59.93","388.39"
"110","CN/China","2021-02-09","100,475","4,824","94,147","1,504","0.121","0.125","42.57","66.71","440.94"
"111","CN/China","2021-02-08","100,435","4,822","93,989","1,624","0.122","0.126","44.00","73.79","480.13"
"112","CN/China","2021-02-07","100,389","4,822","93,883","1,684","0.123","0.127","46.57","81.57","523.59"
"113","CN/China","2021-02-06","100,348","4,822","93,752","1,774","0.124","0.129","54.29","92.93","580.08"
"114","CN/China","2021-02-05","100,318","4,822","93,606","1,890","0.126","0.130","67.14","102.29","652.20"
"115","CN/China","2021-02-04","100,268","4,822","93,459","1,987","0.127","0.132","74.57","105.86","717.12"
"116","CN/China","2021-02-03","100,226","4,821","93,280","2,125","0.129","0.133","81.57","120.14","802.01"
"117","CN/China","2021-02-02","100,177","4,820","93,060","2,297","0.131","0.134","90.86","132.43","887.20"
"118","CN/China","2021-02-01","100,127","4,818","92,891","2,418","0.132","0.135","103.57","140.21","983.06"
"119","CN/China","2021-01-31","100,063","4,817","92,779","2,467","0.133","0.136","116.57","151.71","1071.60"
"120","CN/China","2021-01-30","99,968","4,815","92,622","2,531","0.134","0.137","131.57","156.64","1133.41"
"121","CN/China","2021-01-29","99,848","4,814","92,321","2,713","0.136","0.137","137.43","159.43","1173.39"
"122","CN/China","2021-01-28","99,746","4,813","92,223","2,710","0.136","0.137","137.14","164.14","1236.13"
"123","CN/China","2021-01-27","99,655","4,811","92,076","2,768","0.137","0.137","158.71","170.00","1315.81"
"124","CN/China","2021-01-26","99,541","4,809","91,920","2,812","0.138","0.136","174.00","174.71","1376.53"
"125","CN/China","2021-01-25","99,402","4,807","91,775","2,820","0.138","0.136","176.86","177.29","1409.39"
"126","CN/China","2021-01-24","99,247","4,804","91,709","2,734","0.137","0.135","186.86","173.07","1424.88"
"127","CN/China","2021-01-23","99,047","4,803","91,609","2,635","0.136","0.133","181.71","168.36","1390.53"
"128","CN/China","2021-01-22","98,886","4,803","91,526","2,557","0.136","0.132","181.43","166.00","1389.66"
"129","CN/China","2021-01-21","98,786","4,803","91,382","2,601","0.136","0.131","191.14","164.43","1448.87"
"130","CN/China","2021-01-20","98,544","4,801","91,382","2,361","0.134","0.129","181.29","153.29","1355.81"
"131","CN/China","2021-01-19","98,323","4,800","91,322","2,201","0.132","0.128","175.43","143.79","1273.26"
"132","CN/China","2021-01-18","98,164","4,798","91,263","2,103","0.131","0.127","177.71","137.00","1247.86"
"133","CN/China","2021-01-17","97,939","4,797","91,205","1,937","0.129","0.126","159.29","127.07","1146.41"
"134","CN/China","2021-01-16","97,775","4,797","91,158","1,820","0.128","0.125","155.00","120.64","1099.20"
"135","CN/China","2021-01-15","97,616","4,796","91,100","1,720","0.127","0.124","150.57","113.79","1050.39"
"136","CN/China","2021-01-14","97,448","4,796","91,026","1,626","0.126","0.124","137.71","106.07","987.21"
"137","CN/China","2021-01-13","97,275","4,796","90,953","1,526","0.125","0.123","125.29","99.93","912.74"
"138","CN/China","2021-01-12","97,095","4,794","90,857","1,444","0.124","0.123","112.14","92.71","824.38"
"139","CN/China","2021-01-11","96,920","4,793","90,772","1,355","0.123","0.122","96.29","85.71","735.28"
"140","CN/China","2021-01-10","96,824","4,792","90,697","1,335","0.123","0.122","94.86","85.14","724.81"
"141","CN/China","2021-01-09","96,690","4,791","90,630","1,269","0.122","0.122","86.29","82.07","672.78"
"142","CN/China","2021-01-08","96,562","4,789","90,543","1,230","0.122","0.122","77.00","78.71","623.41"
