"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"13979","IN/India","2021-05-29","27,729,247","322,512","25,178,011","2,228,724","0.114","0.125","171302.14","217512.14","1536944.41"
"13980","IN/India","2021-05-28","27,729,247","322,512","25,178,011","2,228,724","0.114","0.129","205708.14","239738.57","1782440.26"
"13981","IN/India","2021-05-27","27,555,457","318,895","24,893,410","2,343,152","0.120","0.135","217638.00","250617.71","1865436.40"
"13982","IN/India","2021-05-26","27,369,093","315,235","24,633,951","2,419,907","0.124","0.140","228093.29","261816.29","1947616.07"
"13983","IN/India","2021-05-25","27,157,795","311,388","24,350,816","2,495,591","0.128","0.146","237352.14","272632.64","2014003.27"
"13984","IN/India","2021-05-24","26,948,874","307,231","24,054,861","2,586,782","0.133","0.152","245696.86","282596.93","2090835.52"
"13985","IN/India","2021-05-23","26,752,447","303,720","23,728,011","2,720,716","0.140","0.159","255283.43","292133.71","2191499.61"
"13986","IN/India","2021-05-22","26,530,132","299,266","23,425,467","2,805,399","0.145","0.166","263722.14","302432.21","2278348.34"
"13987","IN/India","2021-05-21","26,289,290","295,525","23,070,365","2,923,400","0.152","0.174","273769.00","314043.86","2357352.45"
"13988","IN/India","2021-05-20","26,031,991","291,331","22,712,735","3,027,925","0.159","0.182","283597.43","324313.79","2430358.87"
"13989","IN/India","2021-05-19","25,772,440","287,122","22,355,440","3,129,878","0.166","0.189","295539.29","335359.29","2511305.28"
"13990","IN/India","2021-05-18","25,496,330","283,248","21,986,363","3,226,719","0.173","0.196","307913.14","345096.50","2582761.72"
"13991","IN/India","2021-05-17","25,228,996","278,719","21,596,512","3,353,765","0.181","0.203","319497.00","353297.36","2668993.00"
"13992","IN/India","2021-05-16","24,965,463","274,390","21,174,076","3,516,997","0.192","0.209","328984.00","359996.14","2765993.74"
"13993","IN/India","2021-05-15","24,684,077","270,284","20,795,335","3,618,458","0.200","0.214","341142.29","366187.14","2852548.26"
"13994","IN/India","2021-05-14","24,372,907","266,207","20,432,898","3,673,802","0.206","0.218","354318.71","371995.57","2915373.66"
"13995","IN/India","2021-05-13","24,046,809","262,317","20,079,599","3,704,893","0.211","0.222","365030.14","377416.64","2967301.54"
"13996","IN/India","2021-05-12","23,703,665","258,317","19,734,823","3,710,525","0.214","0.225","375179.29","380517.43","3004594.33"
"13997","IN/India","2021-05-11","23,340,938","254,197","19,382,642","3,704,099","0.217","0.228","382279.86","381701.79","3022184.13"
"13998","IN/India","2021-05-10","22,992,517","249,992","19,027,304","3,715,221","0.222","0.230","387097.71","382595.07","3052386.74"
"13999","IN/India","2021-05-09","22,662,575","246,116","18,671,222","3,745,237","0.227","0.232","391008.29","382100.86","3102604.93"
