"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"3857","JP/Japan","2021-05-29","740,580","12,816","659,576","68,188","0.143","0.146","3528.57","4336.43","32029.34"
"3858","JP/Japan","2021-05-28","738,935","12,786","659,576","66,573","0.140","0.148","4005.71","4671.14","35163.27"
"3859","JP/Japan","2021-05-27","735,234","12,691","655,066","67,477","0.142","0.151","4227.57","4855.93","36418.93"
"3860","JP/Japan","2021-05-26","731,071","12,573","649,955","68,543","0.144","0.155","4448.57","5013.36","37436.47"
"3861","JP/Japan","2021-05-25","726,586","12,457","645,001","69,128","0.146","0.158","4644.14","5230.21","38257.00"
"3862","JP/Japan","2021-05-24","722,668","12,351","639,731","70,586","0.149","0.162","4827.86","5404.64","39707.13"
"3863","JP/Japan","2021-05-23","719,925","12,265","633,947","73,713","0.155","0.166","4970.00","5555.64","42587.93"
"3864","JP/Japan","2021-05-22","715,880","12,203","628,366","75,311","0.159","0.170","5144.29","5736.57","44380.34"
"3865","JP/Japan","2021-05-21","710,895","12,119","621,452","77,324","0.164","0.173","5336.57","5898.29","45303.47"
"3866","JP/Japan","2021-05-20","705,641","12,006","615,168","78,467","0.167","0.176","5484.29","5954.86","45899.52"
"3867","JP/Japan","2021-05-19","699,931","11,900","608,930","79,101","0.169","0.178","5578.14","5860.07","45930.14"
"3868","JP/Japan","2021-05-18","694,077","11,803","602,200","80,074","0.173","0.180","5816.29","5732.50","45706.27"
"3869","JP/Japan","2021-05-17","688,873","11,587","595,021","82,265","0.178","0.181","5981.43","5660.57","46083.79"
"3870","JP/Japan","2021-05-16","685,135","11,471","589,888","83,776","0.181","0.181","6141.29","5713.21","48071.27"
"3871","JP/Japan","2021-05-15","679,870","11,424","584,614","83,832","0.183","0.180","6328.86","5758.36","48580.01"
"3872","JP/Japan","2021-05-14","673,539","11,330","579,290","82,919","0.183","0.179","6460.00","5733.93","47912.92"
"3873","JP/Japan","2021-05-13","667,251","11,249","573,757","82,245","0.183","0.177","6425.43","5619.36","47397.27"
"3874","JP/Japan","2021-05-12","660,884","11,148","568,402","81,334","0.183","0.175","6142.00","5729.86","46631.21"
"3875","JP/Japan","2021-05-11","653,363","11,045","563,972","78,346","0.178","0.173","5648.71","5463.79","44540.79"
"3876","JP/Japan","2021-05-10","647,003","10,931","559,397","76,675","0.176","0.171","5339.71","5364.21","43406.27"
"3877","JP/Japan","2021-05-09","642,146","10,860","555,245","76,041","0.176","0.170","5285.14","5251.79","43759.14"
"3878","JP/Japan","2021-05-08","635,568","10,796","551,137","73,635","0.173","0.169","5187.86","5112.14","42327.26"
"3879","JP/Japan","2021-05-07","628,319","10,712","545,886","71,721","0.171","0.168","5007.86","4995.93","40075.40"
"3880","JP/Japan","2021-05-06","622,273","10,566","542,413","69,294","0.167","0.167","4813.29","4922.21","38991.87"
"3881","JP/Japan","2021-05-05","617,890","10,501","538,790","68,599","0.167","0.166","5317.71","5003.86","39637.06"
"3882","JP/Japan","2021-05-04","613,822","10,441","534,680","68,701","0.168","0.165","5278.86","5096.79","40657.60"
"3883","JP/Japan","2021-05-03","609,625","10,391","530,913","68,321","0.168","0.164","5388.71","5152.21","41420.94"
"3884","JP/Japan","2021-05-02","605,150","10,342","527,077","67,731","0.168","0.162","5218.43","4995.00","41882.00"
"3885","JP/Japan","2021-05-01","599,253","10,281","523,071","65,901","0.166","0.160","5036.43","4867.43","40848.06"
"3886","JP/Japan","2021-04-30","593,264","10,199","518,891","64,174","0.163","0.158","4984.00","4782.64","39623.60"
"3887","JP/Japan","2021-04-29","588,580","10,160","515,404","63,016","0.162","0.156","5031.14","4770.29","39692.87"
