"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"8677","MM/Myanmar","2021-05-29","143,486","3,216","132,279","7,991","0.110","0.109","36.86","30.50","274.14"
"8678","MM/Myanmar","2021-05-28","143,486","3,216","132,279","7,991","0.110","0.109","39.29","32.21","306.26"
"8679","MM/Myanmar","2021-05-27","143,414","3,216","132,269","7,929","0.109","0.109","33.00","29.29","262.07"
"8680","MM/Myanmar","2021-05-26","143,318","3,216","132,264","7,838","0.108","0.108","22.71","22.93","189.00"
"8681","MM/Myanmar","2021-05-25","143,296","3,216","132,229","7,851","0.109","0.108","23.57","23.00","189.19"
"8682","MM/Myanmar","2021-05-24","143,262","3,216","132,218","7,828","0.108","0.108","23.57","21.36","176.21"
"8683","MM/Myanmar","2021-05-23","143,234","3,216","132,194","7,824","0.108","0.108","24.14","20.50","168.20"
"8684","MM/Myanmar","2021-05-22","143,228","3,216","132,177","7,835","0.108","0.108","24.14","21.00","183.86"
"8685","MM/Myanmar","2021-05-21","143,211","3,216","132,169","7,826","0.108","0.108","25.14","22.00","189.34"
"8686","MM/Myanmar","2021-05-20","143,183","3,216","132,148","7,819","0.108","0.108","25.57","22.07","181.93"
"8687","MM/Myanmar","2021-05-19","143,159","3,216","132,136","7,807","0.108","0.108","23.14","20.36","178.00"
"8688","MM/Myanmar","2021-05-18","143,131","3,213","132,135","7,783","0.108","0.108","22.43","19.50","169.27"
"8689","MM/Myanmar","2021-05-17","143,097","3,213","132,123","7,761","0.108","0.108","19.14","18.21","152.53"
"8690","MM/Myanmar","2021-05-16","143,065","3,212","132,115","7,738","0.108","0.108","16.86","16.21","136.14"
"8691","MM/Myanmar","2021-05-15","143,059","3,212","132,100","7,747","0.108","0.108","17.86","16.29","146.26"
"8692","MM/Myanmar","2021-05-14","143,035","3,212","132,072","7,751","0.108","0.108","18.86","15.57","137.93"
"8693","MM/Myanmar","2021-05-13","143,004","3,212","132,069","7,723","0.108","0.108","18.57","14.57","121.21"
"8694","MM/Myanmar","2021-05-12","142,997","3,211","132,064","7,722","0.108","0.108","17.57","14.79","131.32"
"8695","MM/Myanmar","2021-05-11","142,974","3,210","132,050","7,714","0.108","0.108","16.57","16.71","125.14"
"8696","MM/Myanmar","2021-05-10","142,963","3,210","132,045","7,708","0.108","0.107","17.29","17.21","130.88"
"8697","MM/Myanmar","2021-05-09","142,947","3,210","132,013","7,724","0.108","0.107","15.57","16.79","131.04"
"8698","MM/Myanmar","2021-05-08","142,934","3,210","132,004","7,720","0.108","0.107","14.71","16.43","134.54"
"8699","MM/Myanmar","2021-05-07","142,903","3,210","132,000","7,693","0.107","0.107","12.29","15.43","118.82"
"8700","MM/Myanmar","2021-05-06","142,874","3,210","131,999","7,665","0.107","0.107","10.57","14.29","103.98"
"8701","MM/Myanmar","2021-05-05","142,874","3,210","131,999","7,665","0.107","0.107","12.00","15.21","119.33"
"8702","MM/Myanmar","2021-05-04","142,858","3,209","131,997","7,652","0.107","0.107","16.86","15.29","117.62"
"8703","MM/Myanmar","2021-05-03","142,842","3,209","131,989","7,644","0.107","0.107","17.14","14.14","115.85"
"8704","MM/Myanmar","2021-05-02","142,838","3,209","131,981","7,648","0.107","0.107","18.00","15.00","126.46"
"8705","MM/Myanmar","2021-05-01","142,831","3,209","131,972","7,650","0.107","0.107","18.14","15.14","133.75"
"8706","MM/Myanmar","2021-04-30","142,817","3,209","131,966","7,642","0.107","0.107","18.57","14.29","133.53"
"8707","MM/Myanmar","2021-04-29","142,800","3,209","131,958","7,633","0.107","0.107","18.00","13.57","129.52"
"8708","MM/Myanmar","2021-04-28","142,790","3,209","131,955","7,626","0.107","0.107","18.43","13.21","132.48"
"8709","MM/Myanmar","2021-04-27","142,740","3,207","131,945","7,588","0.107","0.107","13.71","10.29","92.07"
"8710","MM/Myanmar","2021-04-26","142,722","3,207","131,932","7,583","0.107","0.106","11.14","9.00","83.78"
"8711","MM/Myanmar","2021-04-25","142,712","3,206","131,930","7,576","0.107","0.106","12.00","9.71","83.15"
"8712","MM/Myanmar","2021-04-24","142,704","3,206","131,925","7,573","0.107","0.106","12.14","9.43","84.87"
"8713","MM/Myanmar","2021-04-23","142,687","3,206","131,921","7,560","0.106","0.106","10.00","9.21","77.05"
"8714","MM/Myanmar","2021-04-22","142,674","3,206","131,914","7,554","0.106","0.106","9.14","8.93","72.94"
"8715","MM/Myanmar","2021-04-21","142,661","3,206","131,908","7,547","0.106","0.106","8.00","8.57","68.67"
"8716","MM/Myanmar","2021-04-20","142,644","3,206","131,903","7,535","0.106","0.106","6.86","8.14","60.53"
"8717","MM/Myanmar","2021-04-19","142,644","3,206","131,903","7,535","0.106","0.106","6.86","9.50","70.33"
"8718","MM/Myanmar","2021-04-18","142,628","3,206","131,895","7,527","0.106","0.106","7.43","9.36","64.27"
"8719","MM/Myanmar","2021-04-17","142,619","3,206","131,889","7,524","0.106","0.106","6.71","10.00","65.47"
"8720","MM/Myanmar","2021-04-16","142,617","3,206","131,884","7,527","0.106","0.106","8.43","10.79","73.53"
"8721","MM/Myanmar","2021-04-15","142,610","3,206","131,879","7,525","0.106","0.106","8.71","10.29","78.26"
"8722","MM/Myanmar","2021-04-14","142,605","3,206","131,874","7,525","0.106","0.106","9.14","12.21","86.15"
"8723","MM/Myanmar","2021-04-13","142,596","3,206","131,869","7,521","0.106","0.106","9.43","13.14","90.66"
"8724","MM/Myanmar","2021-04-12","142,596","3,206","131,869","7,521","0.106","0.106","12.14","14.50","104.72"
"8725","MM/Myanmar","2021-04-11","142,576","3,206","131,853","7,517","0.106","0.106","11.29","13.64","98.02"
"8726","MM/Myanmar","2021-04-10","142,572","3,206","131,846","7,520","0.106","0.106","13.29","13.93","109.46"
"8727","MM/Myanmar","2021-04-09","142,558","3,206","131,845","7,507","0.106","0.106","13.14","15.57","111.66"
"8728","MM/Myanmar","2021-04-08","142,549","3,206","131,834","7,509","0.106","0.106","11.86","16.71","119.81"
"8729","MM/Myanmar","2021-04-07","142,541","3,206","131,829","7,506","0.106","0.106","15.29","17.79","130.27"
"8730","MM/Myanmar","2021-04-06","142,530","3,206","131,819","7,505","0.106","0.106","16.86","19.00","138.19"
"8731","MM/Myanmar","2021-04-05","142,511","3,206","131,815","7,490","0.106","0.106","16.86","18.93","139.14"
"8732","MM/Myanmar","2021-04-04","142,497","3,206","131,813","7,478","0.106","0.106","16.00","20.36","144.14"
"8733","MM/Myanmar","2021-04-03","142,479","3,206","131,810","7,463","0.106","0.106","14.57","19.07","143.92"
"8734","MM/Myanmar","2021-04-02","142,466","3,206","131,802","7,458","0.106","0.105","18.00","18.14","147.87"
"8735","MM/Myanmar","2021-04-01","142,466","3,206","131,802","7,458","0.106","0.105","21.57","18.14","166.28"
"8736","MM/Myanmar","2021-03-31","142,434","3,206","131,800","7,428","0.106","0.105","20.29","17.43","152.39"
"8737","MM/Myanmar","2021-03-30","142,412","3,206","131,793","7,413","0.105","0.105","21.14","17.86","148.06"
"8738","MM/Myanmar","2021-03-29","142,393","3,206","131,790","7,397","0.105","0.105","21.00","17.57","145.48"
"8739","MM/Myanmar","2021-03-28","142,385","3,206","131,789","7,390","0.105","0.105","24.71","17.00","154.06"
"8740","MM/Myanmar","2021-03-27","142,377","3,206","131,788","7,383","0.105","0.105","23.57","17.21","163.06"
"8741","MM/Myanmar","2021-03-26","142,340","3,205","131,781","7,354","0.105","0.105","18.29","15.57","141.14"
"8742","MM/Myanmar","2021-03-25","142,315","3,204","131,774","7,337","0.105","0.104","14.71","14.36","132.26"
"8743","MM/Myanmar","2021-03-24","142,292","3,204","131,772","7,316","0.105","0.104","14.57","15.64","124.80"
"8744","MM/Myanmar","2021-03-23","142,264","3,204","131,765","7,295","0.105","0.104","14.57","14.64","111.40"
"8745","MM/Myanmar","2021-03-22","142,246","3,204","131,763","7,279","0.104","0.104","14.14","14.36","107.53"
"8746","MM/Myanmar","2021-03-21","142,212","3,204","131,754","7,254","0.104","0.104","9.29","12.71","86.13"
"8747","MM/Myanmar","2021-03-20","142,212","3,204","131,754","7,254","0.104","0.104","10.86","13.50","100.27"
"8748","MM/Myanmar","2021-03-19","142,212","3,204","131,754","7,254","0.104","0.104","12.86","15.14","114.40"
"8749","MM/Myanmar","2021-03-18","142,212","3,204","131,754","7,254","0.104","0.104","14.00","15.14","129.60"
"8750","MM/Myanmar","2021-03-17","142,190","3,203","131,751","7,236","0.104","0.104","16.71","14.71","122.60"
"8751","MM/Myanmar","2021-03-16","142,162","3,203","131,744","7,215","0.104","0.104","14.71","14.07","111.00"
"8752","MM/Myanmar","2021-03-15","142,147","3,202","131,739","7,206","0.104","0.104","14.57","16.50","112.73"
"8753","MM/Myanmar","2021-03-14","142,147","3,202","131,739","7,206","0.104","0.104","16.14","17.93","129.87"
"8754","MM/Myanmar","2021-03-13","142,136","3,201","131,736","7,199","0.104","0.104","16.14","17.57","136.27"
"8755","MM/Myanmar","2021-03-12","142,122","3,201","131,728","7,193","0.104","0.104","17.43","17.64","141.00"
"8756","MM/Myanmar","2021-03-11","142,114","3,201","131,722","7,191","0.104","0.104","16.29","19.50","152.87"
"8757","MM/Myanmar","2021-03-10","142,073","3,200","131,707","7,166","0.104","0.104","12.71","18.36","131.20"
