"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"60733","PH/Philippines","2021-05-29","1,216,582","20,722","1,142,246","53,614","0.084","0.081","5480.71","5599.64","46680.26"
"60734","PH/Philippines","2021-05-28","1,209,154","20,566","1,134,818","53,770","0.084","0.081","5393.00","5549.07","44880.93"
"60735","PH/Philippines","2021-05-27","1,200,430","20,379","1,131,942","48,109","0.079","0.081","5039.29","5407.57","41628.34"
"60736","PH/Philippines","2021-05-26","1,193,976","20,169","1,127,770","46,037","0.077","0.082","4986.43","5401.21","40536.26"
"60737","PH/Philippines","2021-05-25","1,188,672","20,019","1,120,452","48,201","0.079","0.083","4897.71","5366.07","40555.33"
"60738","PH/Philippines","2021-05-24","1,184,706","19,983","1,115,806","48,917","0.080","0.084","4968.71","5420.00","42103.74"
"60739","PH/Philippines","2021-05-23","1,179,812","19,951","1,109,226","50,635","0.082","0.084","5121.29","5558.71","42873.93"
"60740","PH/Philippines","2021-05-22","1,178,217","19,946","1,103,945","54,326","0.086","0.085","5718.57","5954.86","47301.07"
"60741","PH/Philippines","2021-05-21","1,171,403","19,763","1,096,109","55,531","0.087","0.086","5705.14","5965.57","46569.13"
"60742","PH/Philippines","2021-05-20","1,165,155","19,641","1,093,602","51,912","0.084","0.087","5775.86","6070.21","46427.80"
"60743","PH/Philippines","2021-05-19","1,159,071","19,507","1,089,613","49,951","0.082","0.087","5816.00","6108.29","46422.40"
"60744","PH/Philippines","2021-05-18","1,154,388","19,372","1,082,725","52,291","0.084","0.088","5834.43","6178.29","47883.60"
"60745","PH/Philippines","2021-05-17","1,149,925","19,262","1,076,428","54,235","0.086","0.089","5871.29","6264.29","49750.07"
"60746","PH/Philippines","2021-05-16","1,143,963","19,191","1,069,868","54,904","0.087","0.090","5996.14","6355.71","50275.39"
"60747","PH/Philippines","2021-05-15","1,138,187","19,051","1,062,427","56,709","0.090","0.091","6191.14","6538.14","51214.54"
"60748","PH/Philippines","2021-05-14","1,131,467","18,958","1,053,523","58,986","0.092","0.093","6226.00","6714.79","51343.14"
"60749","PH/Philippines","2021-05-13","1,124,724","18,821","1,050,643","55,260","0.089","0.094","6364.57","6856.14","51548.72"
"60750","PH/Philippines","2021-05-12","1,118,359","18,714","1,046,431","53,214","0.087","0.096","6400.57","6990.29","52166.48"
"60751","PH/Philippines","2021-05-11","1,113,547","18,620","1,038,175","56,752","0.091","0.097","6522.14","7137.79","54495.73"
"60752","PH/Philippines","2021-05-10","1,108,826","18,562","1,030,367","59,897","0.094","0.099","6657.29","7314.14","57194.93"
"60753","PH/Philippines","2021-05-09","1,101,990","18,472","1,022,224","61,294","0.096","0.101","6715.29","7461.93","57866.28"
"60754","PH/Philippines","2021-05-08","1,094,849","18,269","1,013,204","63,376","0.099","0.103","6885.14","7533.50","58399.19"
"60755","PH/Philippines","2021-05-07","1,087,885","18,099","1,003,160","66,626","0.103","0.105","7203.57","7724.64","59224.26"
"60756","PH/Philippines","2021-05-06","1,080,172","17,991","999,011","63,170","0.100","0.107","7347.71","7794.50","59368.95"
"60757","PH/Philippines","2021-05-05","1,073,555","17,800","993,042","62,713","0.099","0.108","7580.00","7946.29","60781.86"
"60758","PH/Philippines","2021-05-04","1,067,892","17,622","984,210","66,060","0.103","0.110","7753.43","8199.00","63261.99"
"60759","PH/Philippines","2021-05-03","1,062,225","17,525","975,234","69,466","0.107","0.111","7971.00","8320.00","66001.15"
"60760","PH/Philippines","2021-05-02","1,054,983","17,431","966,080","71,472","0.110","0.113","8208.57","8489.29","67354.53"
"60761","PH/Philippines","2021-05-01","1,046,653","17,354","957,051","72,248","0.112","0.115","8181.86","8614.36","67803.32"
"60762","PH/Philippines","2021-04-30","1,037,460","17,234","946,318","73,908","0.115","0.118","8245.71","8749.21","67488.68"
"60763","PH/Philippines","2021-04-29","1,028,738","17,145","942,239","69,354","0.110","0.124","8241.29","8889.50","67823.86"
"60764","PH/Philippines","2021-04-28","1,020,495","17,031","935,695","67,769","0.109","0.132","8312.57","9115.36","68628.33"
"60765","PH/Philippines","2021-04-27","1,013,618","16,916","925,027","71,675","0.114","0.142","8644.57","9202.50","70910.87"
"60766","PH/Philippines","2021-04-26","1,006,428","16,853","914,952","74,623","0.119","0.154","8669.00","9300.21","73158.20"
"60767","PH/Philippines","2021-04-25","997,523","16,783","903,665","77,075","0.123","0.168","8770.00","9475.36","73874.13"
"60768","PH/Philippines","2021-04-24","989,380","16,674","883,221","89,485","0.139","0.182","9046.86","9726.50","75652.87"
"60769","PH/Philippines","2021-04-23","979,740","16,529","860,412","102,799","0.158","0.208","9252.71","9941.86","76104.46"
"60770","PH/Philippines","2021-04-22","971,049","16,370","846,691","107,988","0.167","0.230","9537.71","10191.64","77539.14"
"60771","PH/Philippines","2021-04-21","962,307","16,265","829,608","116,434","0.180","0.250","9918.14","10224.50","78766.93"
"60772","PH/Philippines","2021-04-20","953,106","16,141","809,959","127,006","0.197","0.267","9760.43","10024.71","79546.46"
"60773","PH/Philippines","2021-04-19","945,745","16,048","788,322","141,375","0.220","0.279","9931.43","10167.64","82231.75"
"60774","PH/Philippines","2021-04-18","936,133","15,960","779,084","141,089","0.222","0.287","10180.71","10077.29","82759.06"
"60775","PH/Philippines","2021-04-17","926,052","15,810","706,532","203,710","0.333","0.292","10406.14","10143.50","82981.72"
"60776","PH/Philippines","2021-04-16","914,971","15,738","705,757","193,476","0.319","0.292","10631.00","10248.14","82485.56"
"60777","PH/Philippines","2021-04-15","904,285","15,594","705,164","183,527","0.305","0.292","10845.57","10577.57","82265.99"
"60778","PH/Philippines","2021-04-14","892,880","15,447","704,386","173,047","0.290","0.292","10530.86","10399.43","80974.25"
"60779","PH/Philippines","2021-04-13","884,783","15,286","703,963","165,534","0.279","0.292","10289.00","10257.29","83069.89"
"60780","PH/Philippines","2021-04-12","876,225","15,149","703,625","157,451","0.267","0.292","10403.86","10309.36","84800.73"
"60781","PH/Philippines","2021-04-11","864,868","14,945","703,404","146,519","0.251","0.292","9973.86","10212.57","83605.45"
"60782","PH/Philippines","2021-04-10","853,209","14,744","648,220","190,245","0.339","0.292","9880.86","10054.79","81970.02"
"60783","PH/Philippines","2021-04-09","840,554","14,520","647,683","178,351","0.321","0.289","9865.29","9835.57","79148.73"
"60784","PH/Philippines","2021-04-08","828,366","14,119","646,968","167,279","0.303","0.286","10309.57","9665.57","76564.39"
"60785","PH/Philippines","2021-04-07","819,164","14,059","646,404","158,701","0.289","0.282","10268.00","9632.36","76796.48"
"60786","PH/Philippines","2021-04-06","812,760","13,817","646,381","152,562","0.279","0.278","10225.57","9650.50","79790.33"
"60787","PH/Philippines","2021-04-05","803,398","13,435","646,237","143,726","0.264","0.274","10214.86","9400.43","79735.26"
"60788","PH/Philippines","2021-04-04","795,051","13,425","646,100","135,526","0.252","0.270","10451.29","9375.50","80654.61"
"60789","PH/Philippines","2021-04-03","784,043","13,423","604,905","165,715","0.319","0.265","10228.71","9141.93","78711.73"
"60790","PH/Philippines","2021-04-02","771,497","13,320","604,368","153,809","0.299","0.255","9805.86","8816.50","74866.59"
"60791","PH/Philippines","2021-04-01","756,199","13,303","603,948","138,948","0.275","0.246","9021.57","8229.64","67602.01"
"60792","PH/Philippines","2021-03-31","747,288","13,297","603,746","130,245","0.260","0.238","8996.71","7970.71","66422.20"
"60793","PH/Philippines","2021-03-30","741,181","13,191","603,310","124,680","0.251","0.230","9075.43","7847.21","67934.39"
"60794","PH/Philippines","2021-03-29","731,894","13,186","603,213","115,495","0.236","0.222","8586.00","7500.07","66007.15"
"60795","PH/Philippines","2021-03-28","721,892","13,170","603,154","105,568","0.219","0.215","8299.71","7171.00","63023.86"
"60796","PH/Philippines","2021-03-27","712,442","13,159","581,161","118,122","0.249","0.208","8055.14","6845.07","60295.46"
"60797","PH/Philippines","2021-03-26","702,856","13,149","580,689","109,018","0.233","0.200","7827.14","6517.00","57096.68"
"60798","PH/Philippines","2021-03-25","693,048","13,095","580,062","99,891","0.218","0.191","7437.71","6142.86","53271.32"
"60799","PH/Philippines","2021-03-24","684,311","13,039","579,518","91,754","0.204","0.184","6944.71","5785.93","50126.53"
"60800","PH/Philippines","2021-03-23","677,653","12,992","578,461","86,200","0.194","0.177","6619.00","5516.07","48794.55"
"60801","PH/Philippines","2021-03-22","671,792","12,972","577,850","80,970","0.185","0.171","6414.14","5287.79","48092.19"
"60802","PH/Philippines","2021-03-21","663,794","12,968","577,754","73,072","0.172","0.164","6042.29","4955.86","44937.93"
"60803","PH/Philippines","2021-03-20","656,056","12,930","562,484","80,642","0.190","0.159","5635.00","4637.00","41756.74"
"60804","PH/Philippines","2021-03-19","648,066","12,900","561,902","73,264","0.177","0.153","5206.86","4311.57","37993.33"
"60805","PH/Philippines","2021-03-18","640,984","12,887","561,530","66,567","0.165","0.148","4848.00","4022.64","34828.73"
"60806","PH/Philippines","2021-03-17","635,698","12,866","561,099","61,733","0.156","0.144","4627.14","3819.64","33226.47"
"60807","PH/Philippines","2021-03-16","631,320","12,848","560,736","57,736","0.149","0.140","4413.14","3634.14","32377.73"
"60808","PH/Philippines","2021-03-15","626,893","12,837","560,577","53,479","0.142","0.136","4161.43","3465.14","31320.14"
"60809","PH/Philippines","2021-03-14","621,498","12,829","560,512","48,157","0.132","0.133","3869.43","3224.71","29075.19"
"60810","PH/Philippines","2021-03-13","616,611","12,766","547,166","56,679","0.151","0.130","3639.00","3026.00","27207.14"
"60811","PH/Philippines","2021-03-12","611,618","12,694","546,912","52,012","0.142","0.127","3416.29","2877.93","25076.67"
"60812","PH/Philippines","2021-03-11","607,048","12,608","546,671","47,769","0.134","0.124","3197.29","2740.57","23215.19"
"60813","PH/Philippines","2021-03-10","603,308","12,545","546,293","44,470","0.128","0.121","3012.14","2634.86","22038.08"
"60814","PH/Philippines","2021-03-09","600,428","12,528","546,078","41,822","0.123","0.119","2855.14","2540.21","21622.86"
"60815","PH/Philippines","2021-03-08","597,763","12,521","545,912","39,330","0.118","0.117","2768.86","2450.50","21397.46"
"60816","PH/Philippines","2021-03-07","594,412","12,516","545,853","36,043","0.112","0.115","2580.00","2374.50","20388.08"
"60817","PH/Philippines","2021-03-06","591,138","12,465","535,350","43,323","0.128","0.114","2413.00","2275.00","19386.06"
"60818","PH/Philippines","2021-03-05","587,704","12,423","535,207","40,074","0.122","0.112","2339.57","2189.00","18121.46"
"60819","PH/Philippines","2021-03-04","584,667","12,404","535,037","37,226","0.116","0.111","2283.86","2107.43","17167.34"
"60820","PH/Philippines","2021-03-03","582,223","12,389","534,778","35,056","0.112","0.110","2257.57","2057.07","16721.80"
"60821","PH/Philippines","2021-03-02","580,442","12,369","534,463","33,610","0.110","0.109","2225.29","2014.00","16912.93"
"60822","PH/Philippines","2021-03-01","578,381","12,322","534,351","31,708","0.106","0.108","2132.14","1965.79","16798.94"
"60823","PH/Philippines","2021-02-28","576,352","12,318","534,271","29,763","0.102","0.108","2169.00","1941.14","16709.73"
"60824","PH/Philippines","2021-02-27","574,247","12,289","524,865","37,093","0.118","0.107","2137.00","1928.00","16534.53"
"60825","PH/Philippines","2021-02-26","571,327","12,247","524,582","34,498","0.113","0.106","2038.43","1859.07","15484.20"
"60826","PH/Philippines","2021-02-25","568,680","12,201","524,042","32,437","0.109","0.106","1931.00","1814.14","14645.20"
"60827","PH/Philippines","2021-02-24","566,420","12,129","523,321","30,970","0.106","0.106","1856.57","1775.71","14131.40"
"60828","PH/Philippines","2021-02-23","564,865","12,107","522,941","29,817","0.104","0.105","1802.71","1759.86","14301.06"
"60829","PH/Philippines","2021-02-22","563,456","12,094","522,874","28,488","0.101","0.105","1799.43","1747.21","14635.14"
"60830","PH/Philippines","2021-02-21","561,169","12,088","522,843","26,238","0.097","0.105","1713.29","1704.21","14058.00"
"60831","PH/Philippines","2021-02-20","559,288","12,068","513,120","34,100","0.114","0.105","1719.00","1697.64","13890.39"
"60832","PH/Philippines","2021-02-19","557,058","11,829","512,789","32,440","0.110","0.105","1679.71","1676.50","13351.01"
"60833","PH/Philippines","2021-02-18","555,163","11,673","512,163","31,327","0.107","0.105","1697.29","1676.00","13125.67"
"60834","PH/Philippines","2021-02-17","553,424","11,577","512,033","29,814","0.104","0.106","1694.86","1664.71","13024.72"
"60835","PH/Philippines","2021-02-16","552,246","11,524","511,796","28,926","0.102","0.106","1717.00","1670.93","13511.68"
"60836","PH/Philippines","2021-02-15","550,860","11,517","511,755","27,588","0.099","0.106","1695.00","1684.86","13808.47"
"60837","PH/Philippines","2021-02-14","549,176","11,515","511,743","25,918","0.096","0.107","1695.14","1682.71","13835.11"
"60838","PH/Philippines","2021-02-13","547,255","11,507","500,781","34,967","0.116","0.107","1676.29","1695.64","13636.95"
"60839","PH/Philippines","2021-02-12","545,300","11,495","500,654","33,151","0.113","0.107","1673.29","1706.21","13396.94"
"60840","PH/Philippines","2021-02-11","543,282","11,469","500,335","31,478","0.109","0.108","1654.71","1693.36","13037.25"
"60841","PH/Philippines","2021-02-10","541,560","11,401","499,971","30,188","0.106","0.108","1634.57","1653.79","13008.21"
"60842","PH/Philippines","2021-02-09","540,227","11,296","499,764","29,167","0.104","0.109","1624.86","1718.64","13357.27"
"60843","PH/Philippines","2021-02-08","538,995","11,231","499,772","27,992","0.101","0.109","1674.71","1714.21","13816.99"
"60844","PH/Philippines","2021-02-07","537,310","11,179","499,798","26,333","0.098","0.110","1670.29","1692.21","13840.74"
"60845","PH/Philippines","2021-02-06","535,521","11,110","488,465","35,946","0.120","0.110","1715.00","1703.00","13760.67"
"60846","PH/Philippines","2021-02-05","533,587","11,058","488,274","34,255","0.116","0.110","1739.14","1692.86","13551.33"
"60847","PH/Philippines","2021-02-04","531,699","10,997","487,927","32,775","0.113","0.111","1732.00","1713.00","13380.66"
"60848","PH/Philippines","2021-02-03","530,118","10,942","487,721","31,455","0.110","0.111","1673.00","1727.07","13535.28"
"60849","PH/Philippines","2021-02-02","528,853","10,874","487,611","30,368","0.107","0.112","1812.43","1769.21","14011.40"
"60850","PH/Philippines","2021-02-01","527,272","10,807","487,574","28,891","0.104","0.112","1753.71","1752.57","14210.05"
"60851","PH/Philippines","2021-01-31","525,618","10,749","487,551","27,318","0.101","0.112","1714.14","1788.64","14351.21"
"60852","PH/Philippines","2021-01-30","523,516","10,669","475,904","36,943","0.123","0.112","1691.00","1773.21","14040.54"
"60853","PH/Philippines","2021-01-29","521,413","10,600","475,765","35,048","0.119","0.111","1646.57","1769.07","13724.72"
"60854","PH/Philippines","2021-01-28","519,575","10,552","475,596","33,427","0.115","0.110","1694.00","1783.57","13678.41"
"60855","PH/Philippines","2021-01-27","518,407","10,481","475,542","32,384","0.113","0.109","1781.14","1836.21","14320.33"
"60856","PH/Philippines","2021-01-26","516,166","10,386","475,423","30,357","0.108","0.108","1726.00","1779.14","13841.33"
"60857","PH/Philippines","2021-01-25","514,996","10,292","475,422","29,282","0.105","0.107","1751.43","1804.29","14491.74"
"60858","PH/Philippines","2021-01-24","513,619","10,242","475,612","27,765","0.102","0.107","1863.14","1852.07","14969.53"
"60859","PH/Philippines","2021-01-23","511,679","10,190","467,886","33,603","0.116","0.106","1855.43","1848.71","14884.67"
"60860","PH/Philippines","2021-01-22","509,887","10,136","467,720","32,031","0.112","0.104","1891.57","1859.64","14946.26"
"60861","PH/Philippines","2021-01-21","507,717","10,116","467,475","30,126","0.108","0.103","1873.14","1831.00","14574.93"
"60862","PH/Philippines","2021-01-20","505,939","10,042","466,993","28,904","0.105","0.102","1891.29","1800.14","14546.68"
"60863","PH/Philippines","2021-01-19","504,084","9,978","466,249","27,857","0.103","0.100","1832.29","1742.21","14379.85"
"60864","PH/Philippines","2021-01-18","502,736","9,909","465,988","26,839","0.101","0.099","1857.14","1712.50","14693.80"
"60865","PH/Philippines","2021-01-17","500,577","9,895","465,991","24,691","0.096","0.097","1841.00","1626.43","14112.22"
"60866","PH/Philippines","2021-01-16","498,691","9,884","460,133","28,674","0.106","0.096","1842.00","1555.36","13750.92"
"60867","PH/Philippines","2021-01-15","496,646","9,876","459,737","27,033","0.102","0.095","1827.71","1487.57","13211.40"
"60868","PH/Philippines","2021-01-14","494,605","9,739","459,252","25,614","0.099","0.095","1788.86","1467.21","12641.94"
"60869","PH/Philippines","2021-01-13","492,700","9,699","458,523","24,478","0.096","0.094","1709.00","1440.57","12148.53"
"60870","PH/Philippines","2021-01-12","491,258","9,554","458,172","23,532","0.093","0.094","1652.14","1409.43","12080.40"
"60871","PH/Philippines","2021-01-11","489,736","9,416","458,206","22,114","0.090","0.093","1567.86","1363.29","11881.73"
"60872","PH/Philippines","2021-01-10","487,690","9,405","458,198","20,087","0.085","0.093","1411.86","1271.71","11081.40"
"60873","PH/Philippines","2021-01-09","485,797","9,398","449,615","26,784","0.102","0.093","1268.71","1199.43","10401.47"
"60874","PH/Philippines","2021-01-08","483,852","9,364","449,330","25,158","0.098","0.094","1147.43","1160.79","9664.99"
"60875","PH/Philippines","2021-01-07","482,083","9,356","449,052","23,675","0.095","0.095","1145.57","1168.50","9101.28"
"60876","PH/Philippines","2021-01-06","480,737","9,347","448,700","22,690","0.093","0.095","1172.14","1195.21","8950.07"
"60877","PH/Philippines","2021-01-05","479,693","9,321","448,375","21,997","0.091","0.096","1166.71","1205.57","9118.58"
"60878","PH/Philippines","2021-01-04","478,761","9,263","448,279","21,219","0.089","0.097","1158.71","1232.57","9451.42"
"60879","PH/Philippines","2021-01-03","477,807","9,257","448,258","20,292","0.087","0.097","1131.57","1287.00","9814.93"
"60880","PH/Philippines","2021-01-02","476,916","9,253","439,942","27,721","0.105","0.098","1130.14","1348.00","10280.85"
"60881","PH/Philippines","2021-01-01","475,820","9,248","439,895","26,677","0.103","0.099","1174.14","1375.57","10609.75"
"60882","PH/Philippines","2020-12-31","474,064","9,244","439,796","25,024","0.099","0.099","1191.43","1401.21","10258.80"
"60883","PH/Philippines","2020-12-30","472,532","9,230","439,509","23,793","0.097","0.100","1218.29","1396.00","10106.32"
"60884","PH/Philippines","2020-12-29","471,526","9,162","439,016","23,348","0.095","0.100","1244.43","1406.21","10486.54"
"60885","PH/Philippines","2020-12-28","470,650","9,124","438,780","22,746","0.094","0.101","1306.43","1422.64","11027.21"
"60886","PH/Philippines","2020-12-27","469,886","9,109","438,678","22,099","0.092","0.101","1442.43","1463.29","11700.19"
"60887","PH/Philippines","2020-12-26","469,005","9,067","431,055","28,883","0.109","0.101","1565.86","1476.71","12283.60"
"60888","PH/Philippines","2020-12-25","467,601","9,062","430,791","27,748","0.107","0.101","1577.00","1468.71","12350.34"
