"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"79531","TH/Thailand","2021-05-29","147,039","954","26,873","119,212","4.507","4.202","2988.71","3421.00","24881.53"
"79532","TH/Thailand","2021-05-28","147,039","954","26,873","119,212","4.507","4.090","3424.71","3642.07","28431.19"
"79533","TH/Thailand","2021-05-27","143,280","920","26,873","115,487","4.366","3.961","3385.00","3534.71","28297.08"
"79534","TH/Thailand","2021-05-26","137,894","873","26,873","110,148","4.164","3.834","2992.14","3499.07","26309.06"
"79535","TH/Thailand","2021-05-25","135,439","832","26,873","107,734","4.071","3.722","3126.29","3465.36","27216.32"
"79536","TH/Thailand","2021-05-24","132,213","806","26,873","104,534","3.950","3.604","3018.71","3372.00","27246.22"
"79537","TH/Thailand","2021-05-23","129,500","776","26,873","101,851","3.848","3.491","4007.57","3294.64","27748.26"
"79538","TH/Thailand","2021-05-22","126,118","759","26,873","98,486","3.722","3.341","3853.29","3203.14","27517.12"
"79539","TH/Thailand","2021-05-21","123,066","735","26,873","95,458","3.607","3.196","3859.43","3157.93","27548.82"
"79540","TH/Thailand","2021-05-20","119,585","703","26,873","92,009","3.476","3.052","3684.43","3055.29","27046.79"
"79541","TH/Thailand","2021-05-19","116,949","678","26,873","89,398","3.377","2.914","4006.00","3003.50","27354.86"
"79542","TH/Thailand","2021-05-18","113,555","649","26,873","86,033","3.250","2.764","3804.43","2911.93","26796.21"
"79543","TH/Thailand","2021-05-17","111,082","614","26,873","83,595","3.157","2.621","3725.29","2861.21","27129.73"
"79544","TH/Thailand","2021-05-16","101,447","589","26,873","73,985","2.797","2.481","2581.71","2318.79","19788.26"
"79545","TH/Thailand","2021-05-15","99,145","565","26,873","71,707","2.711","2.384","2553.00","2292.93","19752.41"
"79546","TH/Thailand","2021-05-14","96,050","548","26,873","68,629","2.595","2.288","2456.43","2206.93","18822.73"
"79547","TH/Thailand","2021-05-13","93,794","518","26,873","66,403","2.510","2.196","2426.14","2158.86","18706.39"
"79548","TH/Thailand","2021-05-12","88,907","486","26,873","61,548","2.327","2.105","2001.00","1943.43","15767.35"
