"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"34705","VN/Viet Nam","2021-05-29","6,713","47","2,896","3,770","1.334","1.145","227.71","185.79","1643.12"
"34706","VN/Viet Nam","2021-05-28","6,396","47","2,896","3,453","1.225","1.082","207.86","184.29","1503.20"
"34707","VN/Viet Nam","2021-05-27","6,356","46","2,853","3,457","1.244","1.029","221.00","186.86","1643.08"
"34708","VN/Viet Nam","2021-05-26","6,086","45","2,853","3,188","1.149","0.966","195.14","173.43","1540.72"
"34709","VN/Viet Nam","2021-05-25","5,931","44","2,794","3,093","1.139","0.911","202.71","168.57","1548.54"
"34710","VN/Viet Nam","2021-05-24","5,404","44","2,794","2,566","0.950","0.847","149.29","136.79","1154.34"
"34711","VN/Viet Nam","2021-05-23","5,275","43","2,721","2,511","0.955","0.803","151.86","133.07","1160.65"
"34712","VN/Viet Nam","2021-05-22","5,119","42","2,721","2,356","0.897","0.752","143.86","133.86","1136.81"
"34713","VN/Viet Nam","2021-05-21","4,941","41","2,689","2,211","0.853","0.703","160.71","128.86","1082.20"
"34714","VN/Viet Nam","2021-05-20","4,809","39","2,687","2,083","0.804","0.645","152.71","122.79","1068.79"
"34715","VN/Viet Nam","2021-05-19","4,720","37","2,687","1,996","0.770","0.590","151.71","120.71","1094.81"
"34716","VN/Viet Nam","2021-05-18","4,512","37","2,687","1,788","0.693","0.538","134.43","108.36","988.60"
"34717","VN/Viet Nam","2021-05-17","4,359","37","2,668","1,654","0.648","0.493","124.29","98.14","928.72"
"34718","VN/Viet Nam","2021-05-16","4,212","37","2,668","1,507","0.593","0.450","114.29","89.29","866.41"
"34719","VN/Viet Nam","2021-05-15","4,112","36","2,668","1,408","0.555","0.411","123.86","83.57","845.33"
"34720","VN/Viet Nam","2021-05-14","3,816","35","2,657","1,124","0.450","0.369","97.00","63.43","609.73"
"34721","VN/Viet Nam","2021-05-13","3,740","35","2,657","1,048","0.421","0.339","92.86","59.29","592.07"
"34722","VN/Viet Nam","2021-05-12","3,658","35","2,636","987","0.401","0.311","89.71","56.64","563.46"
"34723","VN/Viet Nam","2021-05-11","3,571","35","2,618","918","0.378","0.282","82.29","51.00","524.40"
"34724","VN/Viet Nam","2021-05-10","3,489","35","2,618","836","0.346","0.254","72.00","45.50","485.47"
"34725","VN/Viet Nam","2021-05-09","3,412","35","2,602","775","0.325","0.230","64.29","40.64","447.07"
"34726","VN/Viet Nam","2021-05-08","3,245","35","2,602","608","0.261","0.208","43.29","29.43","307.73"
"34727","VN/Viet Nam","2021-05-07","3,137","35","2,560","542","0.239","0.195","29.86","21.93","220.60"
"34728","VN/Viet Nam","2021-05-06","3,090","35","2,560","495","0.221","0.186","25.71","19.00","192.14"
"34729","VN/Viet Nam","2021-05-05","3,030","35","2,560","435","0.197","0.179","23.57","15.57","147.46"
"34730","VN/Viet Nam","2021-05-04","2,995","35","2,560","400","0.184","0.173","19.71","13.93","126.07"
"34731","VN/Viet Nam","2021-05-03","2,985","35","2,560","390","0.180","0.168","19.00","13.86","129.40"
"34732","VN/Viet Nam","2021-05-02","2,962","35","2,549","378","0.176","0.163","17.00","12.64","118.47"
"34733","VN/Viet Nam","2021-05-01","2,942","35","2,548","359","0.169","0.159","15.57","11.50","109.80"
