"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"55913","ID/Indonesia","2021-05-29","1,803,361","50,100","1,654,557","98,704","0.121","0.120","4774.43","4763.64","37749.14"
"55914","ID/Indonesia","2021-05-28","1,803,361","50,100","1,654,557","98,704","0.121","0.119","5531.00","4934.00","42529.73"
"55915","ID/Indonesia","2021-05-27","1,797,499","49,907","1,649,187","98,405","0.121","0.119","5514.43","4703.36","41287.40"
"55916","ID/Indonesia","2021-05-26","1,791,221","49,771","1,645,263","96,187","0.120","0.118","5445.71","4501.21","39517.74"
"55917","ID/Indonesia","2021-05-25","1,786,187","49,627","1,642,074","94,486","0.119","0.117","5422.43","4470.79","38991.19"
"55918","ID/Indonesia","2021-05-24","1,781,127","49,455","1,638,279","93,393","0.118","0.117","5297.43","4468.00","38427.41"
"55919","ID/Indonesia","2021-05-23","1,775,220","49,328","1,633,045","92,847","0.118","0.116","5067.14","4395.43","36884.27"
"55920","ID/Indonesia","2021-05-22","1,769,940","49,205","1,629,495","91,240","0.117","0.116","4752.86","4298.43","36024.79"
"55921","ID/Indonesia","2021-05-21","1,764,644","49,073","1,626,142","89,429","0.116","0.116","4337.00","4358.00","35218.07"
"55922","ID/Indonesia","2021-05-20","1,758,898","48,887","1,621,572","88,439","0.116","0.117","3892.29","4399.50","33954.74"
"55923","ID/Indonesia","2021-05-19","1,753,101","48,669","1,616,603","87,829","0.115","0.118","3556.71","4388.79","32606.25"
"55924","ID/Indonesia","2021-05-18","1,748,230","48,477","1,612,239","87,514","0.115","0.118","3519.14","4418.36","32150.35"
"55925","ID/Indonesia","2021-05-17","1,744,045","48,305","1,606,611","89,129","0.116","0.119","3638.57","4431.50","32416.73"
"55926","ID/Indonesia","2021-05-16","1,739,750","48,093","1,600,857","90,800","0.118","0.120","3723.71","4462.57","32579.72"
"55927","ID/Indonesia","2021-05-15","1,736,670","47,967","1,597,067","91,636","0.118","0.121","3844.00","4556.43","34053.22"
"55928","ID/Indonesia","2021-05-14","1,734,285","47,823","1,592,886","93,576","0.120","0.122","4379.00","4708.36","36429.33"
"55929","ID/Indonesia","2021-05-13","1,731,652","47,716","1,589,079","94,857","0.121","0.122","4906.71","4913.14","38770.79"
"55930","ID/Indonesia","2021-05-12","1,728,204","47,617","1,584,878","95,709","0.121","0.123","5220.86","5083.50","40416.81"
"55931","ID/Indonesia","2021-05-11","1,723,596","47,465","1,580,207","95,924","0.122","0.123","5317.57","5128.71","40906.00"
"55932","ID/Indonesia","2021-05-10","1,718,575","47,218","1,574,615","96,742","0.122","0.124","5224.43","5102.64","41043.73"
"55933","ID/Indonesia","2021-05-09","1,713,684","47,012","1,568,277","98,395","0.124","0.124","5201.43","5177.86","41278.87"
"55934","ID/Indonesia","2021-05-08","1,709,762","46,842","1,563,917","99,003","0.124","0.125","5268.86","5212.14","42524.46"
"55935","ID/Indonesia","2021-05-07","1,703,632","46,663","1,558,423","98,546","0.124","0.125","5037.71","5098.86","41515.80"
"55936","ID/Indonesia","2021-05-06","1,697,305","46,496","1,552,532","98,277","0.124","0.126","4919.57","5035.21","40304.54"
"55937","ID/Indonesia","2021-05-05","1,691,658","46,349","1,547,092","98,217","0.124","0.126","4946.14","5077.79","39778.12"
"55938","ID/Indonesia","2021-05-04","1,686,373","46,137","1,541,149","99,087","0.125","0.126","4939.86","5108.86","39631.34"
"55939","ID/Indonesia","2021-05-03","1,682,004","45,949","1,535,491","100,564","0.126","0.127","4980.86","5193.14","40439.40"
"55940","ID/Indonesia","2021-05-02","1,677,274","45,796","1,530,718","100,760","0.127","0.127","5154.29","5209.00","40876.80"
"55941","ID/Indonesia","2021-05-01","1,672,880","45,652","1,526,978","100,250","0.126","0.127","5155.43","5222.64","41693.34"
"55942","ID/Indonesia","2021-04-30","1,668,368","45,521","1,522,634","100,213","0.126","0.127","5160.00","5260.43","42448.59"
"55943","ID/Indonesia","2021-04-29","1,662,868","45,334","1,517,432","100,102","0.127","0.127","5150.86","5250.64","42261.00"
"55944","ID/Indonesia","2021-04-28","1,657,035","45,116","1,511,417","100,502","0.127","0.128","5209.43","5275.21","41728.61"
"55945","ID/Indonesia","2021-04-27","1,651,794","44,939","1,506,599","100,256","0.127","0.128","5277.86","5304.86","41818.92"
"55946","ID/Indonesia","2021-04-26","1,647,138","44,771","1,501,715","100,652","0.127","0.128","5405.43","5379.57","42505.80"
"55947","ID/Indonesia","2021-04-25","1,641,194","44,594","1,496,126","100,474","0.128","0.129","5263.71","5299.93","41783.54"
"55948","ID/Indonesia","2021-04-24","1,636,792","44,500","1,492,322","99,970","0.127","0.130","5289.86","5280.29","42624.66"
"55949","ID/Indonesia","2021-04-23","1,632,248","44,346","1,487,369","100,533","0.128","0.131","5360.86","5293.07","43371.87"
"55950","ID/Indonesia","2021-04-22","1,626,812","44,172","1,481,449","101,191","0.129","0.132","5350.43","5280.86","43231.60"
"55951","ID/Indonesia","2021-04-21","1,620,569","44,007","1,475,456","101,106","0.129","0.133","5341.00","5228.07","42192.13"
"55952","ID/Indonesia","2021-04-20","1,614,849","43,777","1,468,142","102,930","0.131","0.134","5331.86","5166.64","41597.61"
"55953","ID/Indonesia","2021-04-19","1,609,300","43,567","1,461,414","104,319","0.132","0.135","5353.71","5095.21","41051.60"
"55954","ID/Indonesia","2021-04-18","1,604,348","43,424","1,455,065","105,859","0.133","0.136","5336.14","5006.64","41221.19"
"55955","ID/Indonesia","2021-04-17","1,599,763","43,328","1,450,192","106,243","0.134","0.136","5270.71","5159.93","41741.81"
"55956","ID/Indonesia","2021-04-16","1,594,722","43,196","1,444,229","107,297","0.135","0.137","5225.29","5110.21","41825.33"
"55957","ID/Indonesia","2021-04-15","1,589,359","43,073","1,438,254","108,032","0.136","0.138","5211.29","5107.50","41638.80"
"55958","ID/Indonesia","2021-04-14","1,583,182","42,906","1,431,892","108,384","0.136","0.139","5115.14","5105.00","40622.27"
"55959","ID/Indonesia","2021-04-13","1,577,526","42,782","1,426,145","108,599","0.137","0.140","5001.43","5125.07","40061.79"
"55960","ID/Indonesia","2021-04-12","1,571,824","42,656","1,419,796","109,372","0.138","0.141","4836.71","5052.21","39409.08"
"55961","ID/Indonesia","2021-04-11","1,566,995","42,530","1,414,507","109,958","0.139","0.141","4677.14","5065.00","39579.60"
"55962","ID/Indonesia","2021-04-10","1,562,868","42,443","1,409,288","111,137","0.140","0.142","5049.14","5061.86","40474.39"
"55963","ID/Indonesia","2021-04-09","1,558,145","42,348","1,405,659","110,138","0.139","0.144","4995.14","5043.14","40790.47"
"55964","ID/Indonesia","2021-04-08","1,552,880","42,227","1,399,382","111,271","0.141","0.145","5003.71","5022.93","40620.67"
"55965","ID/Indonesia","2021-04-07","1,547,376","42,064","1,391,742","113,570","0.143","0.147","5094.86","5066.00","40193.40"
"55966","ID/Indonesia","2021-04-06","1,542,516","41,977","1,385,973","114,566","0.144","0.148","5248.71","5092.21","40439.26"
"55967","ID/Indonesia","2021-04-05","1,537,967","41,815","1,381,677","114,475","0.144","0.149","5267.71","5145.64","41075.80"
"55968","ID/Indonesia","2021-04-04","1,534,255","41,669","1,375,877","116,709","0.146","0.151","5452.86","5290.79","42594.94"
"55969","ID/Indonesia","2021-04-03","1,527,524","41,242","1,366,214","120,068","0.149","0.152","5074.57","5124.00","41023.40"
"55970","ID/Indonesia","2021-04-02","1,523,179","41,151","1,361,017","121,011","0.150","0.153","5091.14","5217.64","41966.79"
"55971","ID/Indonesia","2021-04-01","1,517,854","41,054","1,355,578","121,222","0.151","0.154","5042.14","5285.79","42013.21"
"55972","ID/Indonesia","2021-03-31","1,511,712","40,858","1,348,330","122,524","0.152","0.155","5037.14","5316.36","41288.13"
"55973","ID/Indonesia","2021-03-30","1,505,775","40,754","1,342,695","122,326","0.153","0.155","4935.71","5379.79","40733.19"
"55974","ID/Indonesia","2021-03-29","1,501,093","40,581","1,336,818","123,694","0.154","0.156","5023.57","5432.07","41493.75"
"55975","ID/Indonesia","2021-03-28","1,496,085","40,449","1,331,400","124,236","0.155","0.157","5128.71","5473.57","41908.66"
