"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"9159","KR/Korea, Republic of","2021-05-29","139,431","1,951","129,739","7,741","0.090","0.093","500.29","554.29","4154.26"
"9160","KR/Korea, Republic of","2021-05-28","139,431","1,951","129,739","7,741","0.090","0.094","583.86","597.86","4757.67"
"9161","KR/Korea, Republic of","2021-05-27","138,898","1,946","128,761","8,191","0.094","0.095","602.86","608.43","4842.34"
"9162","KR/Korea, Republic of","2021-05-26","138,311","1,943","128,180","8,188","0.094","0.096","599.14","619.86","4881.53"
"9163","KR/Korea, Republic of","2021-05-25","137,682","1,940","127,582","8,160","0.095","0.097","601.57","626.00","4879.13"
"9164","KR/Korea, Republic of","2021-05-24","136,983","1,938","126,993","8,052","0.094","0.097","595.00","621.43","4794.21"
"9165","KR/Korea, Republic of","2021-05-23","136,467","1,934","126,427","8,106","0.095","0.098","596.71","621.07","4888.73"
"9166","KR/Korea, Republic of","2021-05-22","135,929","1,931","125,881","8,117","0.095","0.099","608.29","615.71","4962.99"
"9167","KR/Korea, Republic of","2021-05-21","135,344","1,926","125,032","8,386","0.098","0.099","611.86","614.21","4998.01"
"9168","KR/Korea, Republic of","2021-05-20","134,678","1,922","124,158","8,598","0.100","0.099","614.00","616.71","4942.60"
"9169","KR/Korea, Republic of","2021-05-19","134,117","1,916","123,659","8,542","0.100","0.098","640.57","614.14","4993.06"
"9170","KR/Korea, Republic of","2021-05-18","133,471","1,912","123,237","8,322","0.099","0.098","650.43","609.00","4960.54"
"9171","KR/Korea, Republic of","2021-05-17","132,818","1,904","122,631","8,283","0.099","0.098","647.86","610.64","4913.54"
"9172","KR/Korea, Republic of","2021-05-16","132,290","1,903","122,163","8,224","0.099","0.097","645.43","611.57","4988.85"
"9173","KR/Korea, Republic of","2021-05-15","131,671","1,900","121,764","8,007","0.097","0.098","623.14","602.21","4972.34"
"9174","KR/Korea, Republic of","2021-05-14","131,061","1,896","121,282","7,883","0.096","0.098","616.57","601.93","4965.94"
"9175","KR/Korea, Republic of","2021-05-13","130,380","1,893","120,395","8,092","0.099","0.099","619.43","598.07","4886.85"
"9176","KR/Korea, Republic of","2021-05-12","129,633","1,891","119,906","7,836","0.097","0.099","587.71","591.57","4737.21"
"9177","KR/Korea, Republic of","2021-05-11","128,918","1,884","119,373","7,661","0.096","0.100","567.57","588.93","4623.54"
"9178","KR/Korea, Republic of","2021-05-10","128,283","1,879","118,717","7,687","0.097","0.101","573.43","598.93","4581.59"
"9179","KR/Korea, Republic of","2021-05-09","127,772","1,875","117,844","8,053","0.100","0.102","577.71","598.93","4662.93"
"9180","KR/Korea, Republic of","2021-05-08","127,309","1,874","117,423","8,012","0.100","0.103","581.29","601.57","4804.34"
"9181","KR/Korea, Republic of","2021-05-07","126,745","1,865","116,881","7,999","0.101","0.104","587.29","607.29","4859.46"
"9182","KR/Korea, Republic of","2021-05-06","126,044","1,860","116,022","8,162","0.103","0.106","576.71","613.29","4784.00"
"9183","KR/Korea, Republic of","2021-05-05","125,519","1,851","115,491","8,177","0.103","0.107","595.43","632.71","4898.54"
"9184","KR/Korea, Republic of","2021-05-04","124,945","1,847","114,944","8,154","0.103","0.108","610.29","644.21","4974.52"
"9185","KR/Korea, Republic of","2021-05-03","124,269","1,840","114,128","8,301","0.105","0.109","624.43","648.14","4940.07"
"9186","KR/Korea, Republic of","2021-05-02","123,728","1,834","113,356","8,538","0.108","0.110","620.14","648.71","5039.94"
"9187","KR/Korea, Republic of","2021-05-01","123,240","1,833","112,865","8,542","0.108","0.111","621.86","651.79","5204.99"
"9188","KR/Korea, Republic of","2021-04-30","122,634","1,831","112,337","8,466","0.108","0.111","627.29","656.43","5255.34"
"9189","KR/Korea, Republic of","2021-04-29","122,007","1,828","111,422","8,757","0.112","0.112","649.86","658.43","5287.67"
"9190","KR/Korea, Republic of","2021-04-28","121,351","1,825","110,787","8,739","0.112","0.113","670.00","659.57","5293.79"
"9191","KR/Korea, Republic of","2021-04-27","120,673","1,821","110,248","8,604","0.111","0.113","678.14","661.00","5281.47"
"9192","KR/Korea, Republic of","2021-04-26","119,898","1,820","109,695","8,383","0.110","0.113","671.86","657.86","5156.60"
"9193","KR/Korea, Republic of","2021-04-25","119,387","1,817","108,850","8,720","0.114","0.113","677.29","660.07","5300.79"
"9194","KR/Korea, Republic of","2021-04-24","118,887","1,813","108,475","8,599","0.113","0.113","681.71","666.29","5463.61"
"9195","KR/Korea, Republic of","2021-04-23","118,243","1,812","107,781","8,650","0.114","0.114","685.57","664.14","5484.54"
"9196","KR/Korea, Republic of","2021-04-22","117,458","1,811","107,071","8,576","0.114","0.113","667.00","656.36","5356.85"
"9197","KR/Korea, Republic of","2021-04-21","116,661","1,808","106,459","8,394","0.113","0.113","649.14","647.36","5210.75"
"9198","KR/Korea, Republic of","2021-04-20","115,926","1,806","105,877","8,243","0.112","0.113","643.86","644.86","5122.13"
"9199","KR/Korea, Republic of","2021-04-19","115,195","1,802","105,227","8,166","0.112","0.113","643.86","640.36","5020.66"
"9200","KR/Korea, Republic of","2021-04-18","114,646","1,801","104,474","8,371","0.115","0.112","642.86","635.29","5096.14"
"9201","KR/Korea, Republic of","2021-04-17","114,115","1,797","104,006","8,312","0.115","0.112","650.86","631.14","5190.40"
"9202","KR/Korea, Republic of","2021-04-16","113,444","1,794","103,594","8,056","0.113","0.111","642.71","622.00","5136.06"
"9203","KR/Korea, Republic of","2021-04-15","112,789","1,790","103,062","7,937","0.112","0.112","645.71","613.93","5091.07"
"9204","KR/Korea, Republic of","2021-04-14","112,117","1,788","102,513","7,816","0.111","0.112","645.57","605.57","5021.00"
"9205","KR/Korea, Republic of","2021-04-13","111,419","1,782","101,983","7,654","0.110","0.112","645.86","595.07","4912.13"
"9206","KR/Korea, Republic of","2021-04-12","110,688","1,775","101,332","7,581","0.110","0.112","636.86","579.00","4750.94"
"9207","KR/Korea, Republic of","2021-04-11","110,146","1,770","100,804","7,572","0.111","0.112","627.71","571.79","4768.20"
"9208","KR/Korea, Republic of","2021-04-10","109,559","1,768","100,109","7,682","0.112","0.112","611.43","557.29","4733.46"
"9209","KR/Korea, Republic of","2021-04-09","108,945","1,765","99,301","7,879","0.115","0.111","601.29","547.86","4664.48"
"9210","KR/Korea, Republic of","2021-04-08","108,269","1,764","98,786","7,719","0.114","0.110","582.14","535.64","4521.32"
"9211","KR/Korea, Republic of","2021-04-07","107,598","1,758","98,360","7,480","0.112","0.109","565.57","523.00","4367.14"
"9212","KR/Korea, Republic of","2021-04-06","106,898","1,756","97,928","7,214","0.110","0.108","544.29","503.71","4165.60"
"9213","KR/Korea, Republic of","2021-04-05","106,230","1,752","97,363","7,115","0.109","0.107","521.14","486.36","3974.60"
"9214","KR/Korea, Republic of","2021-04-04","105,752","1,748","96,900","7,104","0.110","0.106","515.86","476.93","3969.06"
"9215","KR/Korea, Republic of","2021-04-03","105,279","1,744","96,589","6,946","0.108","0.105","503.14","472.43","3967.41"
"9216","KR/Korea, Republic of","2021-04-02","104,736","1,740","96,196","6,800","0.107","0.104","494.43","466.21","3889.66"
"9217","KR/Korea, Republic of","2021-04-01","104,194","1,737","95,861","6,596","0.105","0.104","489.14","459.79","3807.67"
"9218","KR/Korea, Republic of","2021-03-31","103,639","1,735","95,439","6,465","0.104","0.104","480.43","453.21","3705.34"
"9219","KR/Korea, Republic of","2021-03-30","103,088","1,731","95,030","6,327","0.103","0.104","463.14","445.64","3601.53"
"9220","KR/Korea, Republic of","2021-03-29","102,582","1,729","94,563","6,290","0.103","0.105","451.57","443.00","3533.20"
"9221","KR/Korea, Republic of","2021-03-28","102,141","1,726","94,124","6,291","0.104","0.106","438.00","437.43","3525.94"
