"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"46273","MY/Malaysia","2021-05-29","549,514","2,552","474,139","72,823","0.164","0.152","6342.71","5941.71","48514.00"
"46274","MY/Malaysia","2021-05-28","549,514","2,552","474,139","72,823","0.164","0.147","7245.57","6237.43","54609.80"
"46275","MY/Malaysia","2021-05-27","541,224","2,491","469,325","69,408","0.159","0.142","6988.86","5939.07","52186.60"
"46276","MY/Malaysia","2021-05-26","533,367","2,432","464,727","66,208","0.153","0.137","6838.71","5724.64","49990.27"
"46277","MY/Malaysia","2021-05-25","525,889","2,369","460,062","63,458","0.148","0.132","6638.29","5530.86","47939.27"
"46278","MY/Malaysia","2021-05-24","518,600","2,309","456,273","60,018","0.142","0.127","6292.00","5294.00","45845.13"
"46279","MY/Malaysia","2021-05-23","512,091","2,248","452,821","57,022","0.136","0.123","5997.29","5101.00","44345.94"
"46280","MY/Malaysia","2021-05-22","505,115","2,199","449,234","53,682","0.129","0.118","5540.71","4869.36","42215.93"
"46281","MY/Malaysia","2021-05-21","498,795","2,149","444,540","52,106","0.127","0.115","5229.29","4740.71","40620.47"
"46282","MY/Malaysia","2021-05-20","492,302","2,099","440,032","50,171","0.124","0.113","4889.29","4598.21","38655.86"
"46283","MY/Malaysia","2021-05-19","485,496","2,040","436,116","47,340","0.118","0.111","4610.57","4365.71","36174.14"
"46284","MY/Malaysia","2021-05-18","479,421","1,994","432,600","44,827","0.113","0.109","4423.43","4199.21","34226.40"
"46285","MY/Malaysia","2021-05-17","474,556","1,947","429,103","43,506","0.110","0.107","4296.00","4074.57","33331.00"
"46286","MY/Malaysia","2021-05-16","470,110","1,902","426,319","41,889","0.107","0.106","4204.71","3935.57","32786.07"
"46287","MY/Malaysia","2021-05-15","466,330","1,866","422,329","42,135","0.109","0.105","4198.00","3909.71","32847.20"
"46288","MY/Malaysia","2021-05-14","462,190","1,822","418,897","41,471","0.108","0.104","4252.14","3819.79","32524.86"
"46289","MY/Malaysia","2021-05-13","458,077","1,788","414,707","41,582","0.109","0.102","4307.14","3796.57","32177.47"
"46290","MY/Malaysia","2021-05-12","453,222","1,761","411,360","40,101","0.106","0.100","4120.86","3687.79","30973.87"
"46291","MY/Malaysia","2021-05-11","448,457","1,722","408,236","38,499","0.103","0.098","3975.00","3571.86","29724.79"
"46292","MY/Malaysia","2021-05-10","444,484","1,700","405,388","37,396","0.101","0.096","3853.14","3483.29","29187.94"
"46293","MY/Malaysia","2021-05-09","440,677","1,683","401,934","37,060","0.101","0.094","3666.43","3409.64","28742.60"
"46294","MY/Malaysia","2021-05-08","436,944","1,657","398,723","36,564","0.100","0.093","3621.43","3335.14","28303.52"
"46295","MY/Malaysia","2021-05-07","432,425","1,632","396,004","34,789","0.096","0.091","3387.43","3206.43","26967.01"
"46296","MY/Malaysia","2021-05-06","427,927","1,610","392,555","33,762","0.094","0.089","3286.00","3088.50","25543.27"
"46297","MY/Malaysia","2021-05-05","424,376","1,591","389,846","32,939","0.093","0.087","3254.71","3040.21","24985.79"
"46298","MY/Malaysia","2021-05-04","420,632","1,574","387,542","31,516","0.089","0.085","3168.71","2939.93","24141.81"
"46299","MY/Malaysia","2021-05-03","417,512","1,551","385,208","30,753","0.088","0.084","3113.43","2884.29","23852.33"
"46300","MY/Malaysia","2021-05-02","415,012","1,533","383,140","30,339","0.087","0.082","3152.86","2854.14","24162.52"
"46301","MY/Malaysia","2021-05-01","411,594","1,521","380,442","29,631","0.086","0.080","3048.86","2766.79","23482.28"
"46302","MY/Malaysia","2021-04-30","408,713","1,506","377,980","29,227","0.085","0.077","3025.43","2727.50","23317.00"
