"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"65071","SG/Singapore","2021-05-29","61,970","32","61,407","531","0.010","0.010","24.43","31.00","218.14"
"65072","SG/Singapore","2021-05-28","61,970","32","61,407","531","0.010","0.009","28.57","33.21","252.60"
"65073","SG/Singapore","2021-05-27","61,940","32","61,372","536","0.010","0.009","30.00","34.79","257.33"
"65074","SG/Singapore","2021-05-26","61,916","32","61,360","524","0.010","0.009","32.43","35.50","267.54"
"65075","SG/Singapore","2021-05-25","61,890","32","61,329","529","0.010","0.009","34.14","34.79","275.67"
"65076","SG/Singapore","2021-05-24","61,860","32","61,316","512","0.009","0.009","35.29","34.43","279.06"
"65077","SG/Singapore","2021-05-23","61,824","32","61,294","498","0.009","0.009","34.14","33.21","275.94"
"65078","SG/Singapore","2021-05-22","61,799","32","61,277","490","0.009","0.009","37.57","33.43","283.46"
"65079","SG/Singapore","2021-05-21","61,770","32","61,242","496","0.009","0.009","37.86","32.79","286.74"
"65080","SG/Singapore","2021-05-20","61,730","32","61,229","469","0.009","0.009","39.57","31.71","277.53"
"65081","SG/Singapore","2021-05-19","61,689","31","61,183","475","0.009","0.008","38.57","30.07","265.67"
"65082","SG/Singapore","2021-05-18","61,651","31","61,134","486","0.009","0.008","35.43","28.50","255.40"
"65083","SG/Singapore","2021-05-17","61,613","31","61,123","459","0.009","0.008","33.57","27.00","243.73"
"65084","SG/Singapore","2021-05-16","61,585","31","61,104","450","0.008","0.008","32.29","26.21","242.80"
"65085","SG/Singapore","2021-05-15","61,536","31","61,062","443","0.008","0.008","29.29","25.50","219.87"
"65086","SG/Singapore","2021-05-14","61,505","31","61,047","427","0.008","0.008","27.71","25.71","214.46"
"65087","SG/Singapore","2021-05-13","61,453","31","61,029","393","0.007","0.007","23.86","23.71","186.93"
"65088","SG/Singapore","2021-05-12","61,419","31","61,006","382","0.007","0.007","21.57","23.79","176.67"
"65089","SG/Singapore","2021-05-11","61,403","31","60,975","397","0.008","0.007","21.57","24.29","184.13"
"65090","SG/Singapore","2021-05-10","61,378","31","60,953","394","0.007","0.007","20.43","23.36","183.93"
"65091","SG/Singapore","2021-05-09","61,359","31","60,933","395","0.008","0.007","20.14","25.21","191.14"
"65092","SG/Singapore","2021-05-08","61,331","31","60,912","388","0.007","0.007","21.71","26.07","188.99"
"65093","SG/Singapore","2021-05-07","61,311","31","60,906","374","0.007","0.007","23.71","26.29","196.14"
"65094","SG/Singapore","2021-05-06","61,286","31","60,873","382","0.007","0.007","23.57","27.29","198.20"
"65095","SG/Singapore","2021-05-05","61,268","31","60,844","393","0.007","0.007","26.00","27.71","207.06"
"65096","SG/Singapore","2021-05-04","61,252","31","60,823","398","0.008","0.007","27.00","27.64","217.80"
"65097","SG/Singapore","2021-05-03","61,235","31","60,806","398","0.008","0.007","26.29","27.43","227.74"
"65098","SG/Singapore","2021-05-02","61,218","31","60,786","401","0.008","0.007","30.29","27.64","238.06"
"65099","SG/Singapore","2021-05-01","61,179","31","60,765","383","0.007","0.007","30.43","26.50","226.40"
"65100","SG/Singapore","2021-04-30","61,145","30","60,751","364","0.007","0.007","28.86","26.86","219.74"
"65101","SG/Singapore","2021-04-29","61,121","30","60,718","373","0.007","0.006","31.00","27.57","222.53"
"65102","SG/Singapore","2021-04-28","61,086","30","60,718","338","0.007","0.006","29.43","26.21","213.80"
"65103","SG/Singapore","2021-04-27","61,063","30","60,704","329","0.006","0.006","28.29","26.50","216.47"
"65104","SG/Singapore","2021-04-26","61,051","30","60,682","339","0.007","0.006","28.57","26.64","231.00"
"65105","SG/Singapore","2021-04-25","61,006","30","60,662","314","0.006","0.006","25.00","25.21","210.86"
"65106","SG/Singapore","2021-04-24","60,966","30","60,629","307","0.006","0.006","22.57","23.79","195.20"
"65107","SG/Singapore","2021-04-23","60,943","30","60,613","300","0.006","0.006","24.86","24.43","196.74"
"65108","SG/Singapore","2021-04-22","60,904","30","60,603","271","0.005","0.006","24.14","23.50","181.06"
"65109","SG/Singapore","2021-04-21","60,880","30","60,576","274","0.006","0.006","23.00","23.29","181.13"
"65110","SG/Singapore","2021-04-20","60,865","30","60,540","295","0.006","0.006","24.71","24.71","190.81"
"65111","SG/Singapore","2021-04-19","60,851","30","60,503","318","0.006","0.006","24.71","25.43","201.66"
"65112","SG/Singapore","2021-04-18","60,831","30","60,485","316","0.006","0.006","25.43","25.21","205.87"
"65113","SG/Singapore","2021-04-17","60,808","30","60,463","315","0.006","0.006","25.00","24.29","206.74"
"65114","SG/Singapore","2021-04-16","60,769","30","60,446","293","0.006","0.006","24.00","22.79","191.86"
"65115","SG/Singapore","2021-04-15","60,735","30","60,417","288","0.006","0.006","22.86","23.43","181.46"
"65116","SG/Singapore","2021-04-14","60,719","30","60,392","297","0.006","0.006","23.57","24.14","190.28"
"65117","SG/Singapore","2021-04-13","60,692","30","60,374","288","0.006","0.006","24.71","24.64","187.99"
"65118","SG/Singapore","2021-04-12","60,678","30","60,357","291","0.006","0.006","26.14","25.50","199.20"
"65119","SG/Singapore","2021-04-11","60,653","30","60,335","288","0.006","0.005","25.00","25.21","198.54"
"65120","SG/Singapore","2021-04-10","60,633","30","60,322","281","0.006","0.005","23.57","24.64","203.06"
"65121","SG/Singapore","2021-04-09","60,601","30","60,304","267","0.005","0.005","21.57","24.00","194.27"
"65122","SG/Singapore","2021-04-08","60,575","30","60,284","261","0.005","0.005","24.00","23.00","190.87"
"65123","SG/Singapore","2021-04-07","60,554","30","60,260","264","0.005","0.005","24.71","22.71","192.06"
"65124","SG/Singapore","2021-04-06","60,519","30","60,239","250","0.005","0.005","24.57","21.29","177.81"
"65125","SG/Singapore","2021-04-05","60,495","30","60,214","251","0.005","0.005","24.86","20.50","173.73"
"65126","SG/Singapore","2021-04-04","60,478","30","60,202","246","0.005","0.005","25.43","20.14","176.33"
"65127","SG/Singapore","2021-04-03","60,468","30","60,185","253","0.005","0.004","25.71","20.29","186.40"
"65128","SG/Singapore","2021-04-02","60,450","30","60,176","244","0.005","0.004","26.43","20.21","188.27"
"65129","SG/Singapore","2021-04-01","60,407","30","60,161","216","0.005","0.004","22.00","18.21","163.26"
"65130","SG/Singapore","2021-03-31","60,381","30","60,149","202","0.004","0.004","20.71","17.43","154.14"
"65131","SG/Singapore","2021-03-30","60,347","30","60,138","179","0.004","0.003","18.00","15.64","135.46"
"65132","SG/Singapore","2021-03-29","60,321","30","60,131","160","0.004","0.003","16.14","14.57","123.87"
"65133","SG/Singapore","2021-03-28","60,300","30","60,122","148","0.003","0.003","14.86","13.93","117.00"
"65134","SG/Singapore","2021-03-27","60,288","30","60,113","145","0.003","0.003","14.86","14.29","118.86"
"65135","SG/Singapore","2021-03-26","60,265","30","60,103","132","0.003","0.003","14.00","13.21","108.88"
"65136","SG/Singapore","2021-03-25","60,253","30","60,086","137","0.003","0.003","14.43","13.07","109.59"
"65137","SG/Singapore","2021-03-24","60,236","30","60,078","128","0.003","0.003","14.14","12.43","104.87"
"65138","SG/Singapore","2021-03-23","60,221","30","60,063","128","0.003","0.003","13.29","12.07","101.54"
"65139","SG/Singapore","2021-03-22","60,208","30","60,051","127","0.003","0.003","13.00","11.57","100.19"
"65140","SG/Singapore","2021-03-21","60,196","30","60,038","128","0.003","0.003","13.00","11.64","99.94"
"65141","SG/Singapore","2021-03-20","60,184","30","60,022","132","0.003","0.003","13.71","11.71","99.74"
"65142","SG/Singapore","2021-03-19","60,167","30","60,019","118","0.003","0.003","12.43","11.43","93.99"
"65143","SG/Singapore","2021-03-18","60,152","30","60,014","108","0.003","0.003","11.71","11.00","90.54"
"65144","SG/Singapore","2021-03-17","60,137","30","60,001","106","0.003","0.003","10.71","11.29","87.60"
"65145","SG/Singapore","2021-03-16","60,128","30","59,984","114","0.003","0.003","10.86","12.29","90.59"
"65146","SG/Singapore","2021-03-15","60,117","30","59,974","113","0.003","0.003","10.14","12.07","91.68"
"65147","SG/Singapore","2021-03-14","60,105","30","59,968","107","0.003","0.003","10.29","12.07","91.66"
"65148","SG/Singapore","2021-03-13","60,088","30","59,961","97","0.003","0.003","9.71","11.64","86.33"
"65149","SG/Singapore","2021-03-12","60,080","29","59,950","101","0.003","0.003","10.43","11.93","90.35"
"65150","SG/Singapore","2021-03-11","60,070","29","59,939","102","0.003","0.003","10.29","12.14","92.32"
"65151","SG/Singapore","2021-03-10","60,062","29","59,911","122","0.003","0.003","11.86","12.29","96.27"
"65152","SG/Singapore","2021-03-09","60,052","29","59,905","118","0.003","0.003","13.71","12.07","97.81"
"65153","SG/Singapore","2021-03-08","60,046","29","59,900","117","0.003","0.003","14.00","11.93","103.59"
"65154","SG/Singapore","2021-03-07","60,033","29","59,894","110","0.003","0.003","13.86","11.71","102.26"
"65155","SG/Singapore","2021-03-06","60,020","29","59,879","112","0.003","0.003","13.57","11.57","100.88"
"65156","SG/Singapore","2021-03-05","60,007","29","59,870","108","0.003","0.003","13.43","11.50","99.52"
"65157","SG/Singapore","2021-03-04","59,998","29","59,857","112","0.003","0.002","14.00","11.86","102.33"
"65158","SG/Singapore","2021-03-03","59,979","29","59,849","101","0.003","0.002","12.71","11.29","94.61"
"65159","SG/Singapore","2021-03-02","59,956","29","59,842","85","0.002","0.002","10.43","10.43","81.40"
"65160","SG/Singapore","2021-03-01","59,948","29","59,830","89","0.002","0.002","9.86","9.93","83.26"
"65161","SG/Singapore","2021-02-28","59,936","29","59,823","84","0.002","0.002","9.57","9.71","81.27"
"65162","SG/Singapore","2021-02-27","59,925","29","59,816","80","0.002","0.003","9.57","9.93","80.14"
"65163","SG/Singapore","2021-02-26","59,913","29","59,803","81","0.002","0.003","9.57","9.71","78.39"
