"ID","國家","檢核日期","確診數","死亡數","解除隔離數","隔離中人數","解封指數","7天平均解封指數","7天平均新增確診數","14天平均新增確診數","交流距離"
"90617","TW/Taiwan","2021-05-29","7,315","78","1,133","6,104","5.526","4.362","493.29","417.14","3585.34"
"90618","TW/Taiwan","2021-05-28","7,315","78","1,133","6,104","5.526","3.919","596.57","430.36","3989.27"
"90619","TW/Taiwan","2021-05-27","6,761","59","1,133","5,569","5.020","3.384","562.29","393.21","3803.93"
"90620","TW/Taiwan","2021-05-26","6,091","46","1,133","4,912","4.417","2.883","508.29","347.14","3459.33"
"90621","TW/Taiwan","2021-05-25","5,456","35","1,133","4,288","3.847","2.430","456.57","303.29","3108.14"
"90622","TW/Taiwan","2021-05-24","4,917","29","1,133","3,755","3.366","2.027","414.29","265.57","2818.00"
"90623","TW/Taiwan","2021-05-23","4,322","23","1,133","3,166","2.835","1.662","377.14","224.14","2432.26"
"90624","TW/Taiwan","2021-05-22","3,862","17","1,133","2,712","2.424","1.332","341.00","191.36","2151.20"
"90625","TW/Taiwan","2021-05-21","3,139","15","1,133","1,991","1.784","1.033","264.14","140.07","1559.27"
"90626","TW/Taiwan","2021-05-20","2,825","15","1,133","1,677","1.507","0.804","224.14","118.00","1356.27"
"90627","TW/Taiwan","2021-05-19","2,533","14","1,133","1,386","1.248","0.611","186.00","98.07","1156.26"
"90628","TW/Taiwan","2021-05-18","2,260","14","1,127","1,119","1.018","0.451","150.00","79.07","957.60"
"90629","TW/Taiwan","2021-05-17","2,017","12","1,123","882","0.807","0.321","116.86","62.29","773.27"
"90630","TW/Taiwan","2021-05-16","1,682","12","1,116","554","0.518","0.221","71.14","38.93","474.93"
"90631","TW/Taiwan","2021-05-15","1,475","12","1,116","347","0.333","0.161","41.71","24.50","291.07"
"90632","TW/Taiwan","2021-05-14","1,290","12","1,107","171","0.176","0.128","16.00","11.57","117.34"
"90633","TW/Taiwan","2021-05-13","1,256","12","1,102","142","0.151","0.118","11.86","9.64","92.65"
"90634","TW/Taiwan","2021-05-12","1,231","12","1,097","122","0.133","0.111","10.14","8.21","75.74"
"90635","TW/Taiwan","2021-05-11","1,210","12","1,093","105","0.118","0.105","8.14","7.14","61.81"
"90636","TW/Taiwan","2021-05-10","1,199","12","1,089","98","0.112","0.101","7.71","6.79","57.39"
"90637","TW/Taiwan","2021-05-09","1,184","12","1,089","83","0.098","0.098","6.71","6.00","48.20"
"90638","TW/Taiwan","2021-05-08","1,183","12","1,082","89","0.105","0.097","7.29","6.14","53.41"
"90639","TW/Taiwan","2021-05-07","1,178","12","1,077","89","0.105","0.094","7.14","6.29","54.53"
"90640","TW/Taiwan","2021-05-06","1,173","12","1,075","86","0.102","0.091","7.43","6.21","55.60"
"90641","TW/Taiwan","2021-05-05","1,160","12","1,074","74","0.091","0.088","6.29","5.57","48.07"
"90642","TW/Taiwan","2021-05-04","1,153","12","1,067","74","0.092","0.085","6.14","5.36","46.19"
"90643","TW/Taiwan","2021-05-03","1,145","12","1,058","75","0.094","0.082","5.86","4.93","43.01"
"90644","TW/Taiwan","2021-05-02","1,137","12","1,055","70","0.089","0.078","5.29","4.57","39.34"
"90645","TW/Taiwan","2021-05-01","1,132","12","1,053","67","0.087","0.075","5.00","4.29","38.45"
"90646","TW/Taiwan","2021-04-30","1,128","12","1,053","63","0.083","0.071","5.43","4.14","38.47"
"90647","TW/Taiwan","2021-04-29","1,121","12","1,051","58","0.078","0.067","5.00","3.79","35.08"
"90648","TW/Taiwan","2021-04-28","1,116","12","1,050","54","0.074","0.063","4.86","3.50","33.65"
"90649","TW/Taiwan","2021-04-27","1,110","12","1,050","48","0.069","0.061","4.57","3.43","31.14"
"90650","TW/Taiwan","2021-04-26","1,104","12","1,046","46","0.067","0.058","4.00","3.29","28.28"
"90651","TW/Taiwan","2021-04-25","1,100","12","1,045","43","0.064","0.055","3.86","3.07","27.18"
"90652","TW/Taiwan","2021-04-24","1,097","12","1,045","40","0.061","0.053","3.57","2.93","27.07"
"90653","TW/Taiwan","2021-04-23","1,090","11","1,044","35","0.055","0.051","2.86","2.57","22.75"
"90654","TW/Taiwan","2021-04-22","1,086","11","1,041","34","0.054","0.050","2.57","2.57","21.11"
"90655","TW/Taiwan","2021-04-21","1,082","11","1,038","33","0.053","0.049","2.14","2.29","19.27"
"90656","TW/Taiwan","2021-04-20","1,078","11","1,038","29","0.049","0.049","2.29","2.00","17.28"
"90657","TW/Taiwan","2021-04-19","1,076","11","1,034","31","0.051","0.048","2.57","2.00","17.19"
"90658","TW/Taiwan","2021-04-18","1,073","11","1,033","29","0.049","0.047","2.29","1.86","16.06"
"90659","TW/Taiwan","2021-04-17","1,072","11","1,033","28","0.049","0.046","2.29","1.93","17.28"
"90660","TW/Taiwan","2021-04-16","1,070","11","1,032","27","0.048","0.046","2.29","2.21","17.53"
"90661","TW/Taiwan","2021-04-15","1,068","11","1,031","26","0.047","0.045","2.57","2.29","18.06"
"90662","TW/Taiwan","2021-04-14","1,067","11","1,029","27","0.048","0.046","2.43","2.64","19.94"
"90663","TW/Taiwan","2021-04-13","1,062","11","1,027","24","0.045","0.047","1.71","2.71","17.54"
"90664","TW/Taiwan","2021-04-12","1,058","11","1,026","21","0.042","0.048","1.43","2.50","15.92"
"90665","TW/Taiwan","2021-04-11","1,057","11","1,022","24","0.045","0.050","1.43","2.50","17.40"
"90666","TW/Taiwan","2021-04-10","1,056","10","1,020","26","0.045","0.052","1.57","2.57","19.28"
"90667","TW/Taiwan","2021-04-09","1,054","10","1,018","26","0.045","0.055","2.14","2.93","20.06"
"90668","TW/Taiwan","2021-04-08","1,050","10","1,007","33","0.053","0.057","2.00","2.71","18.79"
"90669","TW/Taiwan","2021-04-07","1,050","10","1,007","33","0.053","0.059","2.86","2.93","21.68"
